,URNG_Input.bmp omp offloading kernel,URNG_Input.bmp sycl kernel,URNG_Input.bmp hip_kernel
Runtime,62833225.0,64662988.0,150695918.0
SALU Instructions per wave,6489.0,6338.0,6390.0
VALU Instructions per wave,0.0,0.0,0.0
IPC,1.49,1.41,0.93
L1 Requests per wave,1328.0,3696.0,1328.0
L1 Hit Rate,98.81,94.8,98.76
L2 Requests per wave,2.06,16.78,2.21
L2 Hit Rate,75.26,88.41,75.28
Wavefront Occupancy (% of peak),3481.09,1749.23,345.96
Dependency Wait Cycles per wave,9461.24,9052.65,5689.0
Issue Wait Cycles per wave,153997.02,58152.49,2315.58
Grid Size,65536.0,65536.0,65536.0
#Threads,4.0,4.0,4.0
Shared Memory Allocated,512.0,512.0,16896.0
Shared Memory Instructions per wave,150.0,55.0,83.0
Shared Memory Bank Conflicts (%),0.0,0.0,0.0
Register Spill Instructions per wave,0.0,40.0,0.0
Global Memory Instructions per wave,53.0,53.0,53.0
Global Memory Read Instructions per wave,52.0,52.0,52.0
Global Memory Write Instructions per wave,1.0,1.0,1.0
Coalesced Instructions (% of peak),63.86,40.26,63.86
Global Atomic Operations per wave,0.0,0.0,0.0
Global Read Bytes per wave ,16.69,108.53,18.64
Global Write/Atomic Bytes per wave,16.0,38.22,15.92
SALU Instructions,6644736.0,6490112.0,6543360.0
VALU Instructions,0.0,0.0,0.0
L1 Requests,1359872.0,3784704.0,1359872.0
L2 Requests,2109.44,17182.72,2263.04
Dependency Wait Cycles,9688309.76,9269913.6,5825536.0
Issue Wait Cycles,157692948.48,59548149.76,2371153.92
Shared Memory Instructions,153600.0,56320.0,84992.0
Register Spill Instructions,0.0,40960.0,0.0
Global Memory Instructions,54272.0,54272.0,54272.0
Global Memory Read Instructions,53248.0,53248.0,53248.0
Global Memory Write Instructions,1024.0,1024.0,1024.0
Global Atomic Operations,0.0,0.0,0.0
Global Read Bytes ,17090.56,111134.72,19087.36
Global Write/Atomic Bytes,16384.0,39137.28,16302.08
