,omp 10000 omp offloading kernel,sycl 10000 sycl kernel,hip 10000 hip_kernel
Runtime,30178391340.0,16857641137.0,28891391839.0
SALU Instructions per wave,41.63,2629.85,88.55
VALU Instructions per wave,0.0,0.0,0.0
IPC,0.05,1.33,0.06
L1 Requests per wave,4608.0,768.0,768.0
L1 Hit Rate,62.76,14.45,1.18
L2 Requests per wave,571.96,61.64,569.2
L2 Hit Rate,99.93,99.71,99.97
Wavefront Occupancy (% of peak),3084.88,3307.99,2516.5
Dependency Wait Cycles per wave,33189.04,43552.3,35575.73
Issue Wait Cycles per wave,106148.53,22449.48,72424.64
Grid Size,6422528.0,6422528.0,6422528.0
#Threads,128.0,128.0,128.0
Shared Memory Allocated,0.0,0.0,0.0
Shared Memory Instructions per wave,72.0,0.0,0.0
Shared Memory Bank Conflicts (%),0.0,-1.56,0.0
Register Spill Instructions per wave,0.0,0.0,0.0
Global Memory Instructions per wave,72.0,24.0,24.0
Global Memory Read Instructions per wave,64.0,16.0,16.0
Global Memory Write Instructions per wave,0.0,0.0,0.0
Coalesced Instructions (% of peak),25.0,50.0,50.0
Global Atomic Operations per wave,8.0,8.0,8.0
Global Read Bytes per wave ,26.95,11.31,11.28
Global Write/Atomic Bytes per wave,2.0,0.01,0.01
SALU Instructions,4177653.7600000002,263910707.2,8886169.6
VALU Instructions,0.0,0.0,0.0
L1 Requests,462422016.0,77070336.0,77070336.0
L2 Requests,57397329.92,6185697.28,57120358.400000006
Dependency Wait Cycles,3330586542.08,4370560409.6,3570095656.9600005
Issue Wait Cycles,10652217282.56,2252850216.96,7267957473.28
Shared Memory Instructions,7225344.0,0.0,0.0
Register Spill Instructions,0.0,0.0,0.0
Global Memory Instructions,7225344.0,2408448.0,2408448.0
Global Memory Read Instructions,6422528.0,1605632.0,1605632.0
Global Memory Write Instructions,0.0,0.0,0.0
Global Atomic Operations,802816.0,802816.0,802816.0
Global Read Bytes ,2704486.4,1134981.12,1131970.5599999998
Global Write/Atomic Bytes,200704.0,1003.52,1003.52
