,omp,sycl,hip
Runtime,36801435.0,33010688.0,31133294.0
SALU Instructions per wave,51.37,18.87,19.87
VALU Instructions per wave,0.0,0.0,0.0
IPC,0.04,0.03,0.04
L1 Requests per wave,1388.48,1362.92,1362.92
L1 Hit Rate,34.59,34.41,34.41
L2 Requests per wave,630.36,620.11,620.46
L2 Hit Rate,26.23,19.9,20.61
Wavefront Occupancy (% of peak),1620.57,1825.36,1771.89
Dependency Wait Cycles per wave,95995.75,84991.33,82478.51
Issue Wait Cycles per wave,6044.45,9205.11,8959.2
Grid Size,122880.0,125184.0,125184.0
#Threads,256.0,256.0,256.0
Shared Memory Allocated,0.0,0.0,0.0
Shared Memory Instructions per wave,23.24,0.0,0.0
Shared Memory Bank Conflicts (%),0.0,0.0,0.0
Register Spill Instructions per wave,0.0,0.0,0.0
Global Memory Instructions per wave,23.24,22.81,22.81
Global Memory Read Instructions per wave,22.22,21.81,21.81
Global Memory Write Instructions per wave,1.02,1.0,1.0
Coalesced Instructions (% of peak),26.78,26.78,26.78
Global Atomic Operations per wave,0.0,0.0,0.0
SALU Instructions,98630.4,36909.72,38865.72
VALU Instructions,0.0,0.0,0.0
L1 Requests,2665881.6,2665871.52,2665871.52
L2 Requests,1210291.2,1212935.16,1213619.76
Dependency Wait Cycles,184311840.0,166243041.48,161327965.56
Issue Wait Cycles,11605344.0,18005195.16,17524195.200000003
Shared Memory Instructions,44620.799999999996,0.0,0.0
Register Spill Instructions,0.0,0.0,0.0
Global Memory Instructions,44620.799999999996,44616.36,44616.36
Global Memory Read Instructions,42662.399999999994,42660.36,42660.36
Global Memory Write Instructions,1958.4,1956.0,1956.0
Global Atomic Operations,0.0,0.0,0.0
