,omp omp offloading kernel,sycl sycl kernel,hip hip_kernel
Runtime,65484863.0,22091546.0,154711710.0
SALU Instructions per wave,1176.07,218.28,47.1
VALU Instructions per wave,0.0,0.0,0.0
IPC,1.33,0.33,0.05
L1 Requests per wave,471.16,236.0,236.0
L1 Hit Rate,13.73,0.0,0.0
L2 Requests per wave,100.38,51.95,83.4
L2 Hit Rate,0.29,0.5,25.29
Wavefront Occupancy (% of peak),2797.78,1754.42,1719.0
Dependency Wait Cycles per wave,57652.27,18820.1,93898.57
Issue Wait Cycles per wave,15221.04,2061.35,32058.01
Grid Size,2097152.0,1048704.0,1048704.0
#Threads,1024.0,640.0,640.0
Shared Memory Allocated,512.0,0.0,0.0
Shared Memory Instructions per wave,238.43,0.0,0.0
Shared Memory Bank Conflicts (%),0.0,-3.12,0.0
Register Spill Instructions per wave,0.13,0.0,0.0
Global Memory Instructions per wave,26.26,13.25,13.25
Global Memory Read Instructions per wave,26.13,12.62,12.62
Global Memory Write Instructions per wave,0.06,0.12,0.12
Coalesced Instructions (% of peak),89.67,94.83,94.83
Global Atomic Operations per wave,0.06,0.5,0.5
Global Read Bytes per wave ,6405.7,3284.78,3279.26
Global Write/Atomic Bytes per wave,0.29,0.04,0.04
SALU Instructions,38537461.76,3576736.08,771780.6
VALU Instructions,0.0,0.0,0.0
L1 Requests,15438970.88,3867096.0,3867096.0
L2 Requests,3289251.84,851252.7000000001,1366592.4000000001
Dependency Wait Cycles,1889149583.36,308386158.59999996,1538621968.0200002
Issue Wait Cycles,498763038.72,33777281.1,525302551.85999995
Shared Memory Instructions,7812874.24,0.0,0.0
Register Spill Instructions,4259.84,0.0,0.0
Global Memory Instructions,860487.68,217114.5,217114.5
Global Memory Read Instructions,856227.84,206791.31999999998,206791.31999999998
Global Memory Write Instructions,1966.08,1966.32,1966.32
Global Atomic Operations,1966.08,8193.0,8193.0
Global Read Bytes ,209901977.6,53824405.080000006,53733954.36000001
Global Write/Atomic Bytes,9502.72,655.44,655.44
