,omp,sycl,hip
Runtime,89263760.0,86330149.0,87417165.0
SALU Instructions per wave,115745.0,117769.0,92574.4
VALU Instructions per wave,0.0,0.0,0.0
IPC,0.9,0.92,0.78
L1 Requests per wave,491648.0,131200.0,104972.8
L1 Hit Rate,73.31,0.0,10.0
L2 Requests per wave,32806.9,32806.23,26247.73
L2 Hit Rate,0.01,0.01,0.43
Wavefront Occupancy (% of peak),63.67,63.89,295.57
Dependency Wait Cycles per wave,1628659.0,1507722.09,1125551.82
Issue Wait Cycles per wave,188451.62,8200.0,6610.2
Grid Size,4096.0,4096.0,1682636.8
#Threads,64.0,64.0,102.4
Shared Memory Allocated,0.0,0.0,0.0
Shared Memory Instructions per wave,30728.0,0.0,0.0
Shared Memory Bank Conflicts (%),0.0,0.0,0.0
Register Spill Instructions per wave,0.0,0.0,0.0
Global Memory Instructions per wave,30728.0,8200.0,6560.2
Global Memory Read Instructions per wave,30720.0,8192.0,6553.6
Global Memory Write Instructions per wave,8.0,8.0,6.6
Coalesced Instructions (% of peak),100.0,100.0,85.0
Global Atomic Operations per wave,0.0,0.0,0.0
SALU Instructions,7407680.0,7537216.0,2433892065.2799997
VALU Instructions,0.0,0.0,0.0
L1 Requests,31465472.0,8396800.0,2759860879.36
L2 Requests,2099641.6,2099598.72,690084318.976
Dependency Wait Cycles,104234176.0,96494213.76,29592108009.984
Issue Wait Cycles,12060903.68,524800.0,173790090.24
Shared Memory Instructions,1966592.0,0.0,0.0
Register Spill Instructions,0.0,0.0,0.0
Global Memory Instructions,1966592.0,524800.0,172475530.24
Global Memory Read Instructions,1966080.0,524288.0,172302008.32000002
Global Memory Write Instructions,512.0,512.0,173521.91999999998
Global Atomic Operations,0.0,0.0,0.0
