,omp 268435456 1000,sycl 268435456 1000,hip 268435456 1000
Runtime,11847339253.0,9674690182.0,9653586284.0
SALU Instructions per wave,26243.4,5.87,6.44
VALU Instructions per wave,0.0,0.0,0.0
IPC,0.6,0.69,0.69
L1 Requests per wave,69905.07,32.0,32.0
L1 Hit Rate,0.0,0.0,0.0
L2 Requests per wave,17485.85,8.01,8.02
L2 Hit Rate,0.0,0.0,0.0
Wavefront Occupancy (% of peak),1673.02,3476.78,3523.27
Dependency Wait Cycles per wave,3080287.07,1731.9,1808.49
Issue Wait Cycles per wave,751396.98,1742.75,1758.53
Grid Size,122880.0,268435456.0,268435456.0
#Threads,256.0,256.0,256.0
Shared Memory Allocated,0.0,0.0,0.0
Shared Memory Instructions per wave,4369.07,0.0,0.0
Shared Memory Bank Conflicts (%),0.0,0.0,0.0
Register Spill Instructions per wave,0.0,0.0,0.0
Global Memory Instructions per wave,4369.07,2.0,2.0
Global Memory Read Instructions per wave,2184.53,1.0,1.0
Global Memory Write Instructions per wave,2184.53,1.0,1.0
Coalesced Instructions (% of peak),100.0,100.0,100.0
Global Atomic Operations per wave,0.0,0.0,0.0
SALU Instructions,50387328.0,24620564.48,27011317.76
VALU Instructions,0.0,0.0,0.0
L1 Requests,134217734.4,134217728.0,134217728.0
L2 Requests,33572832.0,33596375.04,33638318.08
Dependency Wait Cycles,5914151174.4,7264115097.6,7585356840.96
Issue Wait Cycles,1442682201.6,7309623296.0,7375809413.12
Shared Memory Instructions,8388614.399999999,0.0,0.0
Register Spill Instructions,0.0,0.0,0.0
Global Memory Instructions,8388614.399999999,8388608.0,8388608.0
Global Memory Read Instructions,4194297.6000000006,4194304.0,4194304.0
Global Memory Write Instructions,4194297.6000000006,4194304.0,4194304.0
Global Atomic Operations,0.0,0.0,0.0
