,omp 1000000 10 omp offloading kernel,sycl 1000000 10 sycl kernel,hip 1000000 10 hip_kernel
Runtime,523900483.0,413327102.0,401592321.0
SALU Instructions per wave,2947.05,345.01,339.89
VALU Instructions per wave,0.0,0.0,0.0
IPC,0.34,0.37,0.38
L1 Requests per wave,123100.23,9345.84,9343.72
L1 Hit Rate,75.43,61.35,61.62
L2 Requests per wave,6840.48,863.6,862.26
L2 Hit Rate,83.64,79.92,79.62
Wavefront Occupancy (% of peak),1362.88,3431.93,3395.32
Dependency Wait Cycles per wave,464214.96,78380.67,76299.2
Issue Wait Cycles per wave,120005.48,55859.68,53527.86
Grid Size,122880.0,1000192.0,1000192.0
#Threads,256.0,256.0,256.0
Shared Memory Allocated,512.0,0.0,0.0
Shared Memory Instructions per wave,1941.63,0.0,0.0
Shared Memory Bank Conflicts (%),0.0,0.0,0.0
Register Spill Instructions per wave,0.5,0.0,0.0
Global Memory Instructions per wave,1923.63,146.03,145.99
Global Memory Read Instructions per wave,1506.64,95.5,95.48
Global Memory Write Instructions per wave,416.74,50.49,50.49
Coalesced Instructions (% of peak),25.03,25.0,25.0
Global Atomic Operations per wave,0.25,0.04,0.02
Global Read Bytes per wave ,30934.16,5763.06,5766.89
Global Write/Atomic Bytes per wave,51046.82,10555.32,10527.58
SALU Instructions,5658336.0,5391816.28,5311800.92
VALU Instructions,0.0,0.0,0.0
L1 Requests,236352441.6,146056787.52,146023656.16
L2 Requests,13133721.6,13496340.8,13475399.28
Dependency Wait Cycles,891292723.2,1224933110.76,1192403897.6
Issue Wait Cycles,230410521.6,872975079.04,836533396.08
Shared Memory Instructions,3727929.6,0.0,0.0
Register Spill Instructions,960.0,0.0,0.0
Global Memory Instructions,3693369.6,2282156.84,2281531.72
Global Memory Read Instructions,2892748.8000000003,1492474.0,1492161.4400000002
Global Memory Write Instructions,800140.8,789057.7200000001,789057.7200000001
Global Atomic Operations,480.0,625.12,312.56
Global Read Bytes ,59393587.2,90065101.68,90124956.92
Global Write/Atomic Bytes,98009894.4,164958540.96,164525020.24
