,omp 300 100 omp offloading kernel,sycl 300 100 sycl kernel,hip 300 100 hip_kernel
Runtime,39097661637.0,31656663379.0,29632089018.0
SALU Instructions per wave,19.38,19.17,15.31
VALU Instructions per wave,0.0,0.0,0.0
IPC,0.84,1.08,1.03
L1 Requests per wave,70.0,69.65,69.65
L1 Hit Rate,96.43,96.43,96.43
L2 Requests per wave,0.25,0.25,0.25
L2 Hit Rate,0.32,0.39,0.38
Wavefront Occupancy (% of peak),3665.52,3216.9,3186.68
Dependency Wait Cycles per wave,3711.08,1488.43,1376.59
Issue Wait Cycles per wave,1330.07,1620.75,1546.2
Grid Size,1719404289.27,1728000000.0,1728000000.0
#Threads,1024.0,1024.0,1024.0
Shared Memory Allocated,4608.0,4608.0,4608.0
Shared Memory Instructions per wave,14.62,9.76,9.02
Shared Memory Bank Conflicts (%),0.0,0.0,0.0
Register Spill Instructions per wave,0.0,0.0,0.0
Global Memory Instructions per wave,1.75,1.74,1.74
Global Memory Read Instructions per wave,1.69,1.68,1.68
Global Memory Write Instructions per wave,0.06,0.06,0.06
Coalesced Instructions (% of peak),40.0,40.0,40.0
Global Atomic Operations per wave,0.0,0.0,0.0
Global Read Bytes per wave ,12.02,11.95,11.95
Global Write/Atomic Bytes per wave,4.0,3.94,3.98
SALU Instructions,520657111.3445718,517590000.00000006,413370000.0
VALU Instructions,0.0,0.0,0.0
L1 Requests,1880598441.3890624,1880550000.0000002,1880550000.0000002
L2 Requests,6716423.004960937,6750000.0,6750000.0
Dependency Wait Cycles,99700732341.00174,40187610000.0,37167930000.0
Issue Wait Cycles,35733250984.83357,43760250000.0,41747400000.0
Shared Memory Instructions,392776417.3301156,263520000.0,243540000.0
Register Spill Instructions,0.0,0.0,0.0
Global Memory Instructions,47014961.03472656,46980000.0,46980000.0
Global Memory Read Instructions,45403019.51353594,45360000.0,45360000.0
Global Memory Write Instructions,1611941.521190625,1620000.0,1620000.0
Global Atomic Operations,0.0,0.0,0.0
Global Read Bytes ,322925618.07852185,322650000.0,322650000.0
Global Write/Atomic Bytes,107462768.079375,106380000.0,107460000.0
