,coin.bmp 100 omp offloading kernel,coin.bmp 100 sycl kernel,coin.bmp 100 hip_kernel
Runtime,2039762819.0,1525298986.0,1537201207.0
SALU Instructions per wave,43986.58,13782.9,13606.21
VALU Instructions per wave,0.0,0.0,0.0
IPC,0.37,0.29,0.32
L1 Requests per wave,2107213.32,482191.44,487672.34
L1 Hit Rate,80.42,24.91,24.94
L2 Requests per wave,574.89,600.6,404.01
L2 Hit Rate,41.82,28.14,51.45
Wavefront Occupancy (% of peak),678.05,1131.97,822.6
Dependency Wait Cycles per wave,3362933.69,1110775.8,210116.62
Issue Wait Cycles per wave,3209795.51,1831556.25,1646079.32
Grid Size,122880.0,163008.0,163008.0
#Threads,256.0,256.0,256.0
Shared Memory Allocated,341.0,384.0,384.0
Shared Memory Instructions per wave,54711.87,2.13,2.69
Shared Memory Bank Conflicts (%),0.0,0.0,0.0
Register Spill Instructions per wave,0.33,0.0,0.0
Global Memory Instructions per wave,54703.41,10292.45,10619.95
Global Memory Read Instructions per wave,54702.59,10292.11,10619.61
Global Memory Write Instructions per wave,0.65,0.22,0.22
Coalesced Instructions (% of peak),50.4,64.78,64.95
Global Atomic Operations per wave,0.17,0.12,0.12
Global Read Bytes per wave ,527.61,237.64,161.3
Global Write/Atomic Bytes per wave,123.72,0.06,0.05
SALU Instructions,84454233.60000001,35105046.3,34655016.87
VALU Instructions,0.0,0.0,0.0
L1 Requests,4045849574.3999996,1228141597.68,1242101449.98
L2 Requests,1103788.8,1529728.2,1029013.47
Dependency Wait Cycles,6456832684.8,2829145962.6,535167031.14
Issue Wait Cycles,6162807379.2,4664973768.75,4192564028.04
Shared Memory Instructions,105046790.4,5425.11,6851.43
Register Spill Instructions,633.6,0.0,0.0
Global Memory Instructions,105030547.2,26214870.150000002,27049012.650000002
Global Memory Read Instructions,105028972.8,26214004.17,27048146.67
Global Memory Write Instructions,1248.0,560.34,560.34
Global Atomic Operations,326.40000000000003,305.64,305.64
Global Read Bytes ,1013011.2000000001,605269.08,410831.10000000003
Global Write/Atomic Bytes,237542.4,152.82,127.35000000000001
