,omp 134217728 1000 omp offloading kernel,sycl 134217728 1000 sycl kernel,hip 134217728 1000 hip_kernel
Runtime,2547735593.0,1254801783.0,1249932324.0
SALU Instructions per wave,28177.87,4.5,4.5
VALU Instructions per wave,0.0,0.0,0.0
IPC,0.64,0.49,0.46
L1 Requests per wave,43690.66,40.0,40.0
L1 Hit Rate,5.88,0.0,0.0
L2 Requests per wave,8739.19,8.52,8.52
L2 Hit Rate,0.0,5.86,5.86
Wavefront Occupancy (% of peak),1807.53,3466.71,3475.2
Dependency Wait Cycles per wave,2881531.2,3044.55,2978.33
Issue Wait Cycles per wave,144789.08,146.39,177.46
Grid Size,122880.0,134217728.0,134217728.0
#Threads,256.0,256.0,256.0
Shared Memory Allocated,1536.0,1536.0,1536.0
Shared Memory Instructions per wave,15565.05,9.5,9.5
Shared Memory Bank Conflicts (%),0.0,0.0,0.0
Register Spill Instructions per wave,0.0,0.0,0.0
Global Memory Instructions per wave,2730.67,2.5,2.5
Global Memory Read Instructions per wave,1638.4,1.5,1.5
Global Memory Write Instructions per wave,1092.27,1.0,1.0
Coalesced Instructions (% of peak),100.0,100.0,100.0
Global Atomic Operations per wave,0.0,0.0,0.0
Global Read Bytes per wave ,279686.38,257.2,257.22
Global Write/Atomic Bytes per wave,279620.27,254.75,255.98
SALU Instructions,54101510.4,9437184.0,9437184.0
VALU Instructions,0.0,0.0,0.0
L1 Requests,83886067.2,83886080.0,83886080.0
L2 Requests,16779244.8,17867735.04,17867735.04
Dependency Wait Cycles,5532539904.0,6384884121.6,6246010716.16
Issue Wait Cycles,277995033.59999996,307002081.28,372160593.92
Shared Memory Instructions,29884896.0,19922944.0,19922944.0
Register Spill Instructions,0.0,0.0,0.0
Global Memory Instructions,5242886.4,5242880.0,5242880.0
Global Memory Read Instructions,3145728.0,3145728.0,3145728.0
Global Memory Write Instructions,2097158.4,2097152.0,2097152.0
Global Atomic Operations,0.0,0.0,0.0
Global Read Bytes ,536997849.6,539387494.4,539429437.44
Global Write/Atomic Bytes,536870918.4000001,534249472.0,536828968.96
