,omp 1024 2960 1440 100 omp offloading kernel,sycl 1024 2960 1440 100 sycl kernel,hip 1024 2960 1440 100 hip_kernel
Runtime,15894220630.0,12094506875.0,12629404311.0
SALU Instructions per wave,178333.25,7189.5,5133.5
VALU Instructions per wave,0.0,0.0,0.0
IPC,0.71,1.04,0.97
L1 Requests per wave,6821227.5,200.0,40.0
L1 Hit Rate,99.78,12.6,24.9
L2 Requests per wave,4416.29,110.82,72.82
L2 Hit Rate,95.08,73.21,91.51
Wavefront Occupancy (% of peak),1572.35,3723.8,3958.37
Dependency Wait Cycles per wave,15454111.0,167409.48,156833.4
Issue Wait Cycles per wave,4919795.02,1121649.49,1324174.33
Grid Size,122880.0,4262400.0,4262400.0
#Threads,256.0,256.0,256.0
Shared Memory Allocated,0.0,0.0,0.0
Shared Memory Instructions per wave,106594.69,0.0,0.0
Shared Memory Bank Conflicts (%),0.0,0.0,0.0
Register Spill Instructions per wave,0.0,10.0,0.0
Global Memory Instructions per wave,106594.69,1.0,1.0
Global Memory Read Instructions per wave,106560.0,0.0,0.0
Global Memory Write Instructions per wave,34.69,1.0,1.0
Coalesced Instructions (% of peak),25.0,90.62,62.5
Global Atomic Operations per wave,0.0,0.0,0.0
Global Read Bytes per wave ,40.43,12.05,8.34
Global Write/Atomic Bytes per wave,13320.0,2475.69,382.36
SALU Instructions,342399840.0,478820700.0,341891100.0
VALU Instructions,0.0,0.0,0.0
L1 Requests,13096756800.0,13320000.0,2664000.0
L2 Requests,8479276.8,7380612.0,4849812.0
Dependency Wait Cycles,29671893120.0,11149471368.0,10445104440.0
Issue Wait Cycles,9446006438.4,74701856034.0,88190010378.0
Shared Memory Instructions,204661804.8,0.0,0.0
Register Spill Instructions,0.0,666000.0,0.0
Global Memory Instructions,204661804.8,66600.0,66600.0
Global Memory Read Instructions,204595200.0,0.0,0.0
Global Memory Write Instructions,66604.79999999999,66600.0,66600.0
Global Atomic Operations,0.0,0.0,0.0
Global Read Bytes ,77625.6,802530.0,555444.0
Global Write/Atomic Bytes,25574400.0,164880954.0,25465176.0
