,omp 10000000 1000 omp offloading kernel,sycl 10000000 1000 sycl kernel,hip 10000000 1000 hip_kernel
Runtime,322834606.0,255764472.0,256289891.0
SALU Instructions per wave,1170.33,29.0,9.0
VALU Instructions per wave,0.0,0.0,0.0
IPC,0.5,0.72,0.46
L1 Requests per wave,3906.25,48.0,48.0
L1 Hit Rate,0.0,0.0,0.0
L2 Requests per wave,977.34,12.02,12.02
L2 Hit Rate,0.0,0.0,0.0
Wavefront Occupancy (% of peak),1554.11,3496.5,3423.95
Dependency Wait Cycles per wave,174513.69,3373.85,3524.88
Issue Wait Cycles per wave,10783.48,636.14,465.84
Grid Size,122880.0,10000128.0,10000128.0
#Threads,256.0,256.0,256.0
Shared Memory Allocated,512.0,0.0,0.0
Shared Memory Instructions per wave,366.46,0.0,0.0
Shared Memory Bank Conflicts (%),0.0,0.0,0.0
Register Spill Instructions per wave,0.0,0.0,0.0
Global Memory Instructions per wave,244.14,3.0,3.0
Global Memory Read Instructions per wave,162.76,2.0,2.0
Global Memory Write Instructions per wave,81.38,1.0,1.0
Coalesced Instructions (% of peak),100.0,100.0,100.0
Global Atomic Operations per wave,0.0,0.0,0.0
Global Read Bytes per wave ,41719.7,513.52,513.52
Global Write/Atomic Bytes per wave,20833.33,246.82,245.36
SALU Instructions,2247033.5999999996,4531308.0,1406268.0
VALU Instructions,0.0,0.0,0.0
L1 Requests,7500000.0,7500096.0,7500096.0
L2 Requests,1876492.8,1878149.04,1878149.04
Dependency Wait Cycles,335066284.8,527170810.2,550769549.76
Issue Wait Cycles,20704281.599999998,99398147.28,72788431.67999999
Shared Memory Instructions,703603.2,0.0,0.0
Register Spill Instructions,0.0,0.0,0.0
Global Memory Instructions,468748.8,468756.0,468756.0
Global Memory Read Instructions,312499.19999999995,312504.0,312504.0
Global Memory Write Instructions,156249.59999999998,156252.0,156252.0
Global Atomic Operations,0.0,0.0,0.0
Global Read Bytes ,80101824.0,80238527.03999999,80238527.03999999
Global Write/Atomic Bytes,39999993.6,38566118.64,38337990.72
