,omp --nsteps 100 omp offloading kernel,sycl --nsteps 100 sycl kernel,hip --nsteps 100 hip_kernel
Runtime,5749897460.0,5073821335.0,4901402174.0
SALU Instructions per wave,18058.94,8673.86,9517.77
VALU Instructions per wave,0.0,0.0,0.0
IPC,0.17,0.19,0.21
L1 Requests per wave,928733.3,447646.37,363976.44
L1 Hit Rate,15.09,20.89,19.21
L2 Requests per wave,166426.71,84281.15,77705.72
L2 Hit Rate,34.39,41.21,40.52
Wavefront Occupancy (% of peak),740.99,1140.07,1122.0
Dependency Wait Cycles per wave,7138337.62,3998124.7,3712457.77
Issue Wait Cycles per wave,595787.65,108513.19,100092.49
Grid Size,75277.71,7800320.0,7800320.0
#Threads,169.14,256.0,256.0
Shared Memory Allocated,0.0,0.0,0.0
Shared Memory Instructions per wave,15154.35,0.0,0.0
Shared Memory Bank Conflicts (%),0.0,0.0,0.0
Register Spill Instructions per wave,0.0,0.0,0.0
Global Memory Instructions per wave,15154.42,6996.69,5688.59
Global Memory Read Instructions per wave,12812.26,4207.55,2900.86
Global Memory Write Instructions per wave,1863.56,1631.18,1631.18
Coalesced Instructions (% of peak),25.7,25.21,25.21
Global Atomic Operations per wave,478.79,1158.06,1156.47
Global Read Bytes per wave ,3090547.18,1166694.56,1166011.68
Global Write/Atomic Bytes per wave,1017387.79,832969.15,842942.41
SALU Instructions,21241182.003553126,1057170056.8000001,1160025807.6000001
VALU Instructions,0.0,0.0,0.0
L1 Requests,1092389312.8866096,54559139575.6,44361448507.2
L2 Requests,195753462.6817828,10272186562.0,9470773153.6
Dependency Wait Cycles,8396214206.882035,487291438436.0,452474353007.6
Issue Wait Cycles,700773905.2856485,13225587597.2,12199272681.2
Shared Memory Instructions,17824761.945914064,0.0,0.0
Register Spill Instructions,0.0,0.0,0.0
Global Memory Instructions,17824844.280909378,852756577.1999999,693325349.2
Global Memory Read Instructions,15069962.386321876,512816194.0,353556816.8
Global Memory Write Instructions,2191945.7694937503,198808218.4,198808218.4
Global Atomic Operations,563159.6057953126,141144352.79999998,140950563.6
Global Read Bytes ,3635145536.833716,142196732972.80002,142113503558.4
Global Write/Atomic Bytes,1196665984.5806391,101522280002.0,102737820930.8
