,URNG_Input.bmp 16 16 1000 omp offloading kernel,URNG_Input.bmp 16 16 1000 sycl kernel,URNG_Input.bmp 16 16 1000 hip_kernel
Runtime,24131219.0,20547648.0,14987697.0
SALU Instructions per wave,7.0,23.0,7.0
VALU Instructions per wave,0.0,0.0,0.0
IPC,0.27,0.31,0.44
L1 Requests per wave,32.0,32.0,32.0
L1 Hit Rate,0.0,0.0,0.0
L2 Requests per wave,8.03,8.04,8.04
L2 Hit Rate,0.0,0.15,0.2
Wavefront Occupancy (% of peak),905.18,1412.39,961.26
Dependency Wait Cycles per wave,6881.25,6553.01,4295.76
Issue Wait Cycles per wave,1768.32,3307.02,2206.14
Grid Size,262144.0,262144.0,262144.0
#Threads,256.0,256.0,256.0
Shared Memory Allocated,16896.0,16384.0,16384.0
Shared Memory Instructions per wave,12.25,9.0,5.0
Shared Memory Bank Conflicts (%),37.75,44.96,9.67
Register Spill Instructions per wave,0.0,0.0,0.0
Global Memory Instructions per wave,2.0,2.0,2.0
Global Memory Read Instructions per wave,1.0,1.0,1.0
Global Memory Write Instructions per wave,1.0,1.0,1.0
Coalesced Instructions (% of peak),100.0,100.0,100.0
Global Atomic Operations per wave,0.0,0.0,0.0
Global Read Bytes per wave ,257.37,257.3,233.27
Global Write/Atomic Bytes per wave,256.0,11.39,18.77
SALU Instructions,28672.0,94208.0,28672.0
VALU Instructions,0.0,0.0,0.0
L1 Requests,131072.0,131072.0,131072.0
L2 Requests,32890.88,32931.84,32931.84
Dependency Wait Cycles,28185600.0,26841128.96,17595432.96
Issue Wait Cycles,7243038.72,13545553.92,9036349.44
Shared Memory Instructions,50176.0,36864.0,20480.0
Register Spill Instructions,0.0,0.0,0.0
Global Memory Instructions,8192.0,8192.0,8192.0
Global Memory Read Instructions,4096.0,4096.0,4096.0
Global Memory Write Instructions,4096.0,4096.0,4096.0
Global Atomic Operations,0.0,0.0,0.0
Global Read Bytes ,1054187.52,1053900.8,955473.92
Global Write/Atomic Bytes,1048576.0,46653.44,76881.92
