,omp,sycl,cuda
Runtime,1114513935.0,1050389170.0,1011368600.0
HtoD copy time,6110.0,3900.0,3905.0
DtoH copy time,2300.0,2625.0,2750.0
#Threads,128.0,128.0,128.0
#Teams,1024.0,1024.0,1024.0
Instructions Executed,289672194335.4673,292614146481.74146,292414466574.8196
IPC,2.335469999999979,2.481740000000006,2.5748199999999914
Shared Memory Stores,8417280000.0,8392704000.0,8392704000.0
Shared Memory Loads,8396800000.0,8388608000.0,8388608000.0
Shared Memory Store Bank Conflicts,0.0,0.0,0.0
Shared Memory Load Bank Conflicts,58845.0,68134.0,67258.0
Global Memory Load Instructions,20480000.0,20480000.0,20480000.0
Global Memory Store Instructions,4096000.0,1024000.0,1024000.0
Global Memory Load (MB),70639.51999999893,69838.599999999,69887.96000000034
Global Memory Store (MB),0.0,0.0,0.0
Global Memory Load Throughput (GB/s),31.73828999999999,32.53316000000006,33.17813999999996
Global Memory Store Throughput (GB/s),0.0,0.0,0.0
Global Memory Load Bank Conflicts,3.0,0.0,0.0
Global Memory Store Bank Conflicts,5.0,0.0,0.0
L1 Cache Accesses (Bytes),1249579.9899999849,1288164.2399999846,1310138.7999999826
L1 Cache Hits (%),88.15709000000007,88.10000000000073,88.10000000000073
L1 Cache Throughput (GB/s),561.4499899999993,600.0342400000008,622.0087999999997
L2 Cache Accesses (Bytes),426299.9500000005,162089.5000000001,164710.85999999975
L2 Cache Hits (%),133.2127299999999,183.02510999999964,178.8200100000006
L2 Cache Throughput (GB/s),191.53946999999997,75.50451000000004,78.20144000000013
#Divergent Branches,2030592000.0,2030592000.0,2030592000.0
Warp Stalls - Barrier Not Issued,13836920.0,11163329.0,10565266.0
Warp Stalls - Branch Resolving Not Issued,1278272.0,649597.0,639585.0
Warp Stalls - Dispatch Stall Not Issued,16174.0,76064.0,24086.0
Warp Stalls - Drain Not Issued,419.0,1206.0,1134.0
Warp Stalls - IMC Miss Not Issued,25852.0,11855.0,37591.0
Warp Stalls - LG Throttle Not Issued,269.0,2.0,101.0
Warp Stalls - Long Scoreboard Not Issued,570.0,4663.0,187.0
Warp Stalls - Math Pipe Throttle Not Issued,3771763.0,4155041.0,3897124.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,8553.0,5180.0,6679.0
Warp Stalls - Misc Not Issued,962.0,2676.0,991.0
Warp Stalls - No Instructions Not Issued,582211.0,377275.0,354949.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,2326.0,849.0,1891.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,6960.0,4305.0,5037.0
Warp Stalls - Wait Not Issued,3869549.0,1946721.0,1890663.0
Occupancy,49687.719999999965,74037.10999999996,73938.48000000005
