,omp 112 112 50,sycl 112 112 50,cuda 112 112 50
Runtime,3921970845.0,17196165660.0,17451719910.0
HtoD copy time,407851300.0,412407855.0,388974890.0
DtoH copy time,85780.0,51995.0,47450.0
Instructions Executed,107758963934.91006,25061030617.649925,22647206587.690002
IPC,0.6124250000000053,0.18137499999999862,0.1564083333333353
Shared Memory Stores,18278400.0,3225600.0,3225600.0
Shared Memory Loads,12902400.0,21504000.0,8064000.0
Shared Memory Store Bank Conflicts,59553.0,119223.0,127592.0
Shared Memory Load Bank Conflicts,215.0,183.0,51.0
Global Memory Load Instructions,2239104000.0,2239104000.0,2239104000.0
Global Memory Store Instructions,2150400.0,537600.0,537600.0
Global Memory Load (MB),308829.50999999844,410931.6800000017,414737.910000002
Global Memory Store (MB),262180.16000000155,228571.91000000038,233183.0600000002
Global Memory Load Throughput (GB/s),152.80764999999994,231.3873416666668,231.883766666667
Global Memory Store Throughput (GB/s),132.91223333333318,114.15278333333337,113.27417499999993
Global Memory Load Bank Conflicts,25405982101.0,19955456242.0,19640657553.0
Global Memory Store Bank Conflicts,18092.0,26538.0,30452.0
L1 Cache Accesses (Bytes),495839.20000000496,528163.120000004,536608.1500000036
L1 Cache Hits (%),0.0,0.0,0.0
L1 Cache Throughput (GB/s),228.12016666666614,255.05676666666724,262.09429166666723
L2 Cache Accesses (Bytes),496043.209999996,528204.0200000027,536642.770000002
L2 Cache Hits (%),45.69137499999966,40.70780833333344,40.015916666666655
L2 Cache Throughput (GB/s),228.2122249999994,255.0856000000007,262.11798333333394
#Divergent Branches,0.0,0.0,0.0
Warp Stalls - Barrier Not Issued,100643.0,154855.0,393241.0
Warp Stalls - Branch Resolving Not Issued,1788184.0,183261.0,182690.0
Warp Stalls - Dispatch Stall Not Issued,45142.0,4147.0,1775.0
Warp Stalls - Drain Not Issued,303.0,1667.0,1753.0
Warp Stalls - IMC Miss Not Issued,40872.0,31210.0,30693.0
Warp Stalls - LG Throttle Not Issued,823573.0,9531866.0,9081621.0
Warp Stalls - Long Scoreboard Not Issued,54531005.0,85888769.0,86233888.0
Warp Stalls - Math Pipe Throttle Not Issued,239779.0,38138.0,35425.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,5928.0,6817.0,4807.0
Warp Stalls - Misc Not Issued,12968.0,9644.0,13190.0
Warp Stalls - No Instructions Not Issued,458290.0,191174.0,136890.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,1257366.0,25073.0,26264.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,29.0,2.0,0.0
Warp Stalls - Wait Not Issued,9428282.0,1738068.0,1797091.0
Occupancy,22367.22999999995,32903.81999999997,32869.85000000002
