,omp 1000,sycl 1000,cuda 1000
Runtime,3235540400.0,2655388500.0,2352900730.0
HtoD copy time,17965235.0,17826820.0,18001005.0
DtoH copy time,71957480.0,97034010.0,65981140.0
Instructions Executed,274689539314.82565,206569476332.38257,257949700660.6337
IPC,0.8184574999999932,1.0830949999999822,1.1546599999999971
Shared Memory Stores,51200000.0,0.0,0.0
Shared Memory Loads,0.0,0.0,0.0
Shared Memory Store Bank Conflicts,1726362.0,0.0,0.0
Shared Memory Load Bank Conflicts,0.0,0.0,0.0
Global Memory Load Instructions,12582912000.0,12582912000.0,13107200000.0
Global Memory Store Instructions,2621440000.0,2621440000.0,2621440000.0
Global Memory Load (MB),3645317.559999942,2846656.0699999467,2437559.8399999593
Global Memory Store (MB),1533751.4699999564,1968289.2599999863,1819320.2100000337
Global Memory Load Throughput (GB/s),502.0203774999998,472.01180749999907,383.475910000002
Global Memory Store Throughput (GB/s),215.95197250000015,325.83265500000005,288.3542999999995
Global Memory Load Bank Conflicts,1086410804.0,3744902357.0,1737685603.0
Global Memory Store Bank Conflicts,551754587.0,563199548.0,446754309.0
L1 Cache Accesses (Bytes),1308253.8600000222,1360744.6200000467,1361658.450000088
L1 Cache Hits (%),28.40883250000004,50.74681000000105,52.18028750000081
L1 Cache Throughput (GB/s),191.98096500000247,205.0786549999944,205.27211250000127
L2 Cache Accesses (Bytes),4254692.329999937,2892004.040000006,4682291.270000028
L2 Cache Hits (%),47.979924999999476,57.77966499999916,60.49288499999916
L2 Cache Throughput (GB/s),289.0171950000094,203.94253750001144,652.5554724999961
#Divergent Branches,1.0,0.0,1.0
Warp Stalls - Barrier Not Issued,4184745.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,493351.0,78737.0,412069.0
Warp Stalls - Dispatch Stall Not Issued,214031.0,95873.0,317028.0
Warp Stalls - Drain Not Issued,3012.0,2547181.0,1653250.0
Warp Stalls - IMC Miss Not Issued,87225.0,67924.0,84380.0
Warp Stalls - LG Throttle Not Issued,6554742.0,13280610.0,2766577.0
Warp Stalls - Long Scoreboard Not Issued,69186633.0,40442685.0,46328522.0
Warp Stalls - Math Pipe Throttle Not Issued,1879188.0,869062.0,3951732.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,5103.0,2751310.0,1139392.0
Warp Stalls - Misc Not Issued,18989.0,9566.0,27147.0
Warp Stalls - No Instructions Not Issued,129931.0,112961.0,197411.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,257021.0,1176761.0,904119.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,86393.0,0.0,0.0
Warp Stalls - Wait Not Issued,5458190.0,1231619.0,4038364.0
Occupancy,257855.80000000008,369362.15000000066,306706.9699999995
