,omp 7 15 8000 100,sycl 7 15 8000 100,cuda 7 15 8000 100
Runtime,3712347550.0,1396003690.0,1172130525.0
HtoD copy time,589092520.0,645206660.0,619730130.0
DtoH copy time,40977395.0,18330600.0,18155520.0
#Threads,256.0,256.0,256.0
#Teams,8000.0,8000.0,8000.0
Instructions Executed,77952000015.00003,77907200037.00005,64320000038.999954
IPC,0.15000000000000024,0.36999999999999994,0.3900000000000004
Shared Memory Stores,819200000.0,780800000.0,857600000.0
Shared Memory Loads,14246400000.0,20889600000.0,14438400000.0
Shared Memory Store Bank Conflicts,115029672.0,24580848.0,104331407.0
Shared Memory Load Bank Conflicts,26399885555.0,62903414323.0,26017936340.0
Global Memory Load Instructions,1216000000.0,1216000000.0,1216000000.0
Global Memory Store Instructions,76800000.0,76800000.0,76800000.0
Global Memory Load (MB),30477.54,29362.67999999998,35721.59000000003
Global Memory Store (MB),37844.46999999996,26625.15999999996,32702.910000000044
Global Memory Load Throughput (GB/s),292.82539999999995,289.2566,352.85380000000004
Global Memory Store Throughput (GB/s),363.6046999999999,262.2892,323.0335
Global Memory Load Bank Conflicts,425425169.0,133750939.0,28266502.0
Global Memory Store Bank Conflicts,97833.0,4021.0,66871.0
L1 Cache Accesses (Bytes),4604.99999999999,66871.09999999987,75039.14999999986
L1 Cache Hits (%),47.03860000000003,27.68240000000002,23.2621
L1 Cache Throughput (GB/s),1.099999999999998,658.761,741.2215000000001
L2 Cache Accesses (Bytes),80529.68000000012,59299.84000000014,70146.0
L2 Cache Hits (%),62.14819999999997,50.48849999999997,49.07900000000002
L2 Cache Throughput (GB/s),773.7208,584.1689000000002,692.8899999999999
#Divergent Branches,51200000.0,51200000.0,25600000.0
Warp Stalls - Barrier Not Issued,16400899.0,3046115.0,3099556.0
Warp Stalls - Branch Resolving Not Issued,102000.0,96074.0,74213.0
Warp Stalls - Dispatch Stall Not Issued,85483.0,42668.0,54333.0
Warp Stalls - Drain Not Issued,1508.0,1745.0,1391.0
Warp Stalls - IMC Miss Not Issued,10050.0,4647.0,4494.0
Warp Stalls - LG Throttle Not Issued,4938996.0,3096991.0,4213158.0
Warp Stalls - Long Scoreboard Not Issued,60531199.0,5001517.0,6114672.0
Warp Stalls - Math Pipe Throttle Not Issued,362594.0,641933.0,870182.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,6327486.0,16545777.0,5784648.0
Warp Stalls - Misc Not Issued,60019.0,51117.0,85700.0
Warp Stalls - No Instructions Not Issued,70629.0,54302.0,41547.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,1593544.0,1201562.0,3495466.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,0.0,0.0,0.0
Warp Stalls - Wait Not Issued,3676016.0,2873812.0,2696718.0
Occupancy,1250.0,1245.0000000000023,1245.9700000000018
