,URNG_Input.bmp omp offloading kernel,URNG_Input.bmp sycl kernel,URNG_Input.bmp cuda_kernel
Runtime,39409100.0,35573745.0,35666730.0
HtoD copy time,30395.0,28700.0,28570.0
DtoH copy time,23390.0,23390.0,23865.0
#Threads,4.0,4.0,4.0
#Teams,16384.0,16384.0,16384.0
Instructions Executed,14693171576.09002,13628211582.099987,13087539572.499975
IPC,3.7608999999999964,3.8209999999999975,3.725000000000005
Shared Memory Stores,60620800.0,47513600.0,47513600.0
Shared Memory Loads,93388800.0,265420800.0,29491200.0
Shared Memory Store Bank Conflicts,32453.0,91.0,7.0
Shared Memory Load Bank Conflicts,29391.0,120688.0,66534.0
Global Memory Load Instructions,85196800.0,85196800.0,85196800.0
Global Memory Store Instructions,1638400.0,1638400.0,1638400.0
Global Memory Load (MB),91761.1700000001,51234.190000000024,52083.4999999999
Global Memory Store (MB),71340.04000000001,50652.18,49814.52999999997
Global Memory Load Throughput (GB/s),2.3136,1.4308000000000027,1.4513999999999994
Global Memory Store Throughput (GB/s),1.798500000000001,1.4144999999999999,1.3879999999999992
Global Memory Load Bank Conflicts,6005190.0,6028416.0,6034523.0
Global Memory Store Bank Conflicts,160.0,236.0,208.0
L1 Cache Accesses (Bytes),54359.73999999987,58558.059999999874,58482.25999999984
L1 Cache Hits (%),99.25650000000016,99.29040000000006,99.31000000000003
L1 Cache Throughput (GB/s),389.5074000000001,431.4906,430.73259999999993
L2 Cache Accesses (Bytes),1239.7699999999986,1307.6100000000022,1313.8200000000031
L2 Cache Hits (%),95.61959999999998,91.55369999999999,92.01420000000003
L2 Cache Throughput (GB/s),8.8835,9.634999999999998,9.676700000000002
#Divergent Branches,49152000.0,49152000.0,49152000.0
Warp Stalls - Barrier Not Issued,1566.0,273.0,749.0
Warp Stalls - Branch Resolving Not Issued,1948.0,980.0,1935.0
Warp Stalls - Dispatch Stall Not Issued,54.0,17.0,80.0
Warp Stalls - Drain Not Issued,23.0,136.0,188.0
Warp Stalls - IMC Miss Not Issued,3515.0,322.0,2873.0
Warp Stalls - LG Throttle Not Issued,123.0,11.0,76.0
Warp Stalls - Long Scoreboard Not Issued,7009.0,3143.0,6197.0
Warp Stalls - Math Pipe Throttle Not Issued,0.0,0.0,0.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,62.0,13.0,82.0
Warp Stalls - Misc Not Issued,13.0,5.0,19.0
Warp Stalls - No Instructions Not Issued,9703.0,5195.0,33501.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,1060.0,513.0,849.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,2.0,0.0,0.0
Warp Stalls - Wait Not Issued,16303.0,11593.0,30607.0
Occupancy,4682.570000000001,4694.4299999999985,4693.4299999999985
