,omp omp offloading kernel,sycl sycl kernel,cuda cuda_kernel
Runtime,14699735.0,21688690.0,21038015.0
HtoD copy time,1686980.0,1533455.0,1491580.0
DtoH copy time,83155.0,96370.0,97110.0
#Threads,256.0,256.0,256.0
#Teams,489.0,489.0,489.0
Instructions Executed,412459978.77000374,370230079.32000184,325420570.0099959
IPC,0.29953999999999986,0.1586399999999983,0.14002000000000048
Shared Memory Stores,0.0,0.0,0.0
Shared Memory Loads,0.0,0.0,0.0
Shared Memory Store Bank Conflicts,0.0,0.0,0.0
Shared Memory Load Bank Conflicts,0.0,0.0,0.0
Global Memory Load Instructions,42609500.0,42609500.0,42609500.0
Global Memory Store Instructions,1953500.0,1953500.0,1953500.0
Global Memory Load (MB),227668.4499999976,367873.87999999966,364665.22999999986
Global Memory Store (MB),34568.48999999999,19806.73999999981,20725.790000000103
Global Memory Load Throughput (GB/s),442.5068999999998,703.9820400000001,699.3822999999993
Global Memory Store Throughput (GB/s),67.18945999999998,37.90336000000001,39.74956000000004
Global Memory Load Bank Conflicts,11574298.0,10595166.0,11233397.0
Global Memory Store Bank Conflicts,480643.0,551267.0,500540.0
L1 Cache Accesses (Bytes),29592.279999999755,29067.239999999918,29118.580000000147
L1 Cache Hits (%),73.22494,52.30980000000005,55.10842
L1 Cache Throughput (GB/s),1.97372000000001,1.2606199999999945,1.3291800000000018
L2 Cache Accesses (Bytes),296196.74000000034,332261.4399999997,331085.4500000002
L2 Cache Hits (%),42.81769999999997,22.395919999999997,22.342119999999973
L2 Cache Throughput (GB/s),575.7067799999999,635.8323399999995,634.9803600000004
#Divergent Branches,1408407.0,1383500.0,1383500.0
Warp Stalls - Barrier Not Issued,33750.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,6454.0,1177.0,1121.0
Warp Stalls - Dispatch Stall Not Issued,339.0,56.0,48.0
Warp Stalls - Drain Not Issued,582.0,1024.0,1072.0
Warp Stalls - IMC Miss Not Issued,17408.0,2986.0,12313.0
Warp Stalls - LG Throttle Not Issued,10326.0,9957.0,14237.0
Warp Stalls - Long Scoreboard Not Issued,577486.0,439536.0,408589.0
Warp Stalls - Math Pipe Throttle Not Issued,995.0,445.0,670.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,6.0,0.0,1.0
Warp Stalls - Misc Not Issued,103.0,52.0,28.0
Warp Stalls - No Instructions Not Issued,13220.0,1405.0,6872.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,2197.0,157.0,204.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,5.0,0.0,0.0
Warp Stalls - Wait Not Issued,33880.0,5304.0,4699.0
Occupancy,12278.98999999999,36284.39999999999,36389.420000000006
