,omp 8192 2000 9 100 omp offloading kernel,sycl 8192 2000 9 100 sycl kernel,cuda 8192 2000 9 100 cuda_kernel
Runtime,1930211375.0,1576569565.0,1499314815.0
HtoD copy time,7146679420.0,7957844225.0,7228243735.0
DtoH copy time,149595325.0,143091365.0,148488915.0
Instructions Executed,418320892485.2086,471888240545.70105,412535008300.82056
IPC,1.9507000000000005,2.152333333333335,2.0027333333333317
Shared Memory Stores,0.0,419430400.0,419430400.0
Shared Memory Loads,0.0,0.0,9825635400.0
Shared Memory Store Bank Conflicts,0.0,5772114.0,7225528.0
Shared Memory Load Bank Conflicts,0.0,1562802848.0,1538822805.0
Global Memory Load Instructions,15323000500.0,1048576000.0,13532386200.0
Global Memory Store Instructions,629043200.0,629043200.0,629043200.0
Global Memory Load (MB),213208.43000000017,222739.75000000032,224061.19000000032
Global Memory Store (MB),90921.40999999992,140105.5099999996,140855.9599999999
Global Memory Load Throughput (GB/s),253.84893333333346,205.4133666666666,209.82080000000005
Global Memory Store Throughput (GB/s),124.06143333333351,109.95379999999993,112.41526666666655
Global Memory Load Bank Conflicts,1519173729.0,13357770465.0,13287973728.0
Global Memory Store Bank Conflicts,24834708.0,651975913.0,653742923.0
L1 Cache Accesses (Bytes),150046.90000000005,150036.66999999955,149793.8599999994
L1 Cache Hits (%),53.38916666666664,55.243833333333505,55.41116666666665
L1 Cache Throughput (GB/s),222.45299999999975,221.66223333333332,220.8528666666657
L2 Cache Accesses (Bytes),252980.7300000006,266810.88000000047,272275.01
L2 Cache Hits (%),58.21416666666675,62.35440000000005,62.10620000000011
L2 Cache Throughput (GB/s),570.8996999999998,617.0527333333334,635.2695333333337
#Divergent Branches,110841200.0,98079400.0,9867310800.0
Warp Stalls - Barrier Not Issued,10185475.0,544553.0,541549.0
Warp Stalls - Branch Resolving Not Issued,940894.0,663199.0,677364.0
Warp Stalls - Dispatch Stall Not Issued,143458.0,151987.0,23555.0
Warp Stalls - Drain Not Issued,271.0,113414.0,96970.0
Warp Stalls - IMC Miss Not Issued,11750.0,22583.0,6407.0
Warp Stalls - LG Throttle Not Issued,1621129.0,2639855.0,5429555.0
Warp Stalls - Long Scoreboard Not Issued,13000997.0,8757995.0,5113778.0
Warp Stalls - Math Pipe Throttle Not Issued,522212.0,566642.0,63487.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,137489.0,344525.0,410152.0
Warp Stalls - Misc Not Issued,51984.0,29343.0,27793.0
Warp Stalls - No Instructions Not Issued,261715.0,82492.0,137965.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,113975.0,58887.0,540138.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,1447.0,19.0,46.0
Warp Stalls - Wait Not Issued,2873606.0,1553826.0,884831.0
Occupancy,19115.740000000013,23238.729999999985,26328.55000000001
