,omp omp offloading kernel,sycl sycl kernel,cuda cuda_kernel
Runtime,357650100.0,189965330.0,188110330.0
HtoD copy time,31935670.0,29216405.0,30238110.0
DtoH copy time,31570.0,33335.0,32075.0
Instructions Executed,54673651767.430115,5720031412.870038,5702975669.560034
IPC,1.4068898809523862,0.2691517857142878,0.2701785714285723
Shared Memory Stores,1394903086.0,0.0,0.0
Shared Memory Loads,941686784.0,0.0,0.0
Shared Memory Store Bank Conflicts,6073634.0,0.0,0.0
Shared Memory Load Bank Conflicts,8736.0,0.0,0.0
Global Memory Load Instructions,1101251232.0,1101004800.0,1101004800.0
Global Memory Store Instructions,800.0,0.0,0.0
Global Memory Load (MB),436057.5199999963,652151.5799999917,652781.2299999928
Global Memory Store (MB),3069.5000000000036,4570.779999999989,4578.899999999981
Global Memory Load Throughput (GB/s),439.1586458333334,757.8486011904764,758.7629315476198
Global Memory Store Throughput (GB/s),3.0920684523809547,5.313943452380952,5.324404761904766
Global Memory Load Bank Conflicts,4612190095.0,4593038537.0,4592981692.0
Global Memory Store Bank Conflicts,2545.0,0.0,0.0
L1 Cache Accesses (Bytes),332757.72999999917,313091.14999999804,313636.8599999977
L1 Cache Hits (%),57.248467261905056,57.03793154761894,57.03616071428558
L1 Cache Throughput (GB/s),204.41910714285711,175.3104017857143,176.12247023809488
L2 Cache Accesses (Bytes),436440.89000000217,649939.000000001,650601.2499999998
L2 Cache Hits (%),9.654836309523828,9.440535714285732,9.44154761904763
L2 Cache Throughput (GB/s),439.50474702380995,755.5836755952382,756.5402976190476
#Divergent Branches,574272.0,0.0,0.0
Warp Stalls - Barrier Not Issued,3290300.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,228594.0,11740.0,5694.0
Warp Stalls - Dispatch Stall Not Issued,11853.0,746.0,617.0
Warp Stalls - Drain Not Issued,793.0,3822.0,2208.0
Warp Stalls - IMC Miss Not Issued,15466.0,14562.0,13435.0
Warp Stalls - LG Throttle Not Issued,821826.0,946478.0,539054.0
Warp Stalls - Long Scoreboard Not Issued,3494114.0,5828672.0,3142743.0
Warp Stalls - Math Pipe Throttle Not Issued,208377.0,16699.0,1648.0
Warp Stalls - Membar Not Issued,2492.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,19234.0,338.0,209.0
Warp Stalls - Misc Not Issued,3426.0,697.0,516.0
Warp Stalls - No Instructions Not Issued,61896.0,16618.0,8894.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,420775.0,12214.0,6707.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,45288.0,0.0,0.0
Warp Stalls - Wait Not Issued,830882.0,146945.0,78208.0
Occupancy,34736.79999999999,49081.65,49321.36000000004
