,omp 1 112 112 50,sycl 1 112 112 50,cuda 1 112 112 50
Runtime,12459169065.0,5368690800.0,5359469160.0
HtoD copy time,723073505.0,412693345.0,408174630.0
DtoH copy time,1348497375.0,1210617780.0,1246563275.0
Instructions Executed,308095606212.5692,130187905715.18018,128535233690.88033
IPC,2.510475000000008,1.4293166666666528,1.4090666666666398
Shared Memory Stores,4507622400.0,1119552000.0,1119552000.0
Shared Memory Loads,2239104000.0,1119552000.0,1119552000.0
Shared Memory Store Bank Conflicts,3488414.0,55733723.0,55549112.0
Shared Memory Load Bank Conflicts,38974943.0,248387162.0,233437585.0
Global Memory Load Instructions,2239104000.0,2239104000.0,2239104000.0
Global Memory Store Instructions,2239104000.0,2239104000.0,2239104000.0
Global Memory Load (MB),388885.5899999998,480203.28999999986,481286.26000000094
Global Memory Store (MB),368608.68000000133,463233.2799999992,464267.83000000095
Global Memory Load Throughput (GB/s),222.10650833333295,298.2089749999993,299.11155833333373
Global Memory Store Throughput (GB/s),199.78763333333296,269.43011666666627,270.18447500000013
Global Memory Load Bank Conflicts,370149914.0,422382578.0,438387765.0
Global Memory Store Bank Conflicts,159177391.0,113147917.0,112585677.0
L1 Cache Accesses (Bytes),777612.4400000055,960321.5800000039,962489.2900000059
L1 Cache Hits (%),0.0,0.0,0.0
L1 Cache Throughput (GB/s),444.08869999999945,596.3463166666672,598.1527416666693
L2 Cache Accesses (Bytes),777794.8000000105,960416.6800000067,962580.4600000059
L2 Cache Hits (%),50.53323333333358,50.37669166666623,50.37629166666637
L2 Cache Throughput (GB/s),444.2101249999997,596.4227000000005,598.2265583333341
#Divergent Branches,0.0,0.0,0.0
Warp Stalls - Barrier Not Issued,1643341.0,3524550.0,2134848.0
Warp Stalls - Branch Resolving Not Issued,202921.0,275535.0,164558.0
Warp Stalls - Dispatch Stall Not Issued,200295.0,73498.0,26740.0
Warp Stalls - Drain Not Issued,969.0,435735.0,247958.0
Warp Stalls - IMC Miss Not Issued,49740.0,24237.0,46942.0
Warp Stalls - LG Throttle Not Issued,247.0,4526.0,2161.0
Warp Stalls - Long Scoreboard Not Issued,4821318.0,17567605.0,10443702.0
Warp Stalls - Math Pipe Throttle Not Issued,654264.0,260490.0,115741.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,65973.0,45943.0,29581.0
Warp Stalls - Misc Not Issued,32246.0,13404.0,6045.0
Warp Stalls - No Instructions Not Issued,51980.0,103198.0,65458.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,564596.0,502882.0,311309.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,10320.0,294.0,129.0
Warp Stalls - Wait Not Issued,2066276.0,1264021.0,767779.0
Occupancy,71458.72000000009,94391.63999999959,94566.0000000002
