,omp 1000000 10,sycl 1000000 10,cuda 1000000 10
Runtime,742035.0,738250.0,795210.0
HtoD copy time,3663770.0,3636085.0,3765900.0
DtoH copy time,3443695.0,3460425.0,2381355.0
#Threads,256.0,256.0,256.0
#Teams,3200.0,3907.0,3907.0
Instructions Executed,135710350.64,121688074.57000002,126906760.15999998
IPC,1.864,1.657,1.6160000000000003
Shared Memory Stores,0.0,0.0,0.0
Shared Memory Loads,0.0,0.0,0.0
Shared Memory Store Bank Conflicts,0.0,0.0,0.0
Shared Memory Load Bank Conflicts,0.0,0.0,0.0
Global Memory Load Instructions,2187500.0,2187500.0,2187500.0
Global Memory Store Instructions,2187500.0,2187500.0,2187500.0
Global Memory Load (MB),4007.250000000001,3974.67,3776.6500000000005
Global Memory Store (MB),3371.04,3332.71,3180.23
Global Memory Load Throughput (GB/s),372.71500000000003,369.457,349.65500000000003
Global Memory Store Throughput (GB/s),313.541,309.78599999999994,294.436
Global Memory Load Bank Conflicts,146888.0,125287.0,179366.0
Global Memory Store Bank Conflicts,175129.0,158039.0,163429.0
L1 Cache Accesses (Bytes),7582.670000000001,7521.3099999999995,7146.39
L1 Cache Hits (%),41.615,32.656,42.906
L1 Cache Throughput (GB/s),705.267,699.131,661.639
L2 Cache Accesses (Bytes),7584.090000000002,7521.879999999999,7147.170000000002
L2 Cache Hits (%),47.741,47.66799999999999,47.760999999999996
L2 Cache Throughput (GB/s),705.399,699.1879999999999,661.7070000000001
#Divergent Branches,93752.0,93752.0,93752.0
Warp Stalls - Barrier Not Issued,983.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,852.0,478.0,381.0
Warp Stalls - Dispatch Stall Not Issued,32.0,18.0,29.0
Warp Stalls - Drain Not Issued,16.0,485.0,117.0
Warp Stalls - IMC Miss Not Issued,467.0,248.0,366.0
Warp Stalls - LG Throttle Not Issued,344.0,1744.0,430.0
Warp Stalls - Long Scoreboard Not Issued,9046.0,12922.0,16697.0
Warp Stalls - Math Pipe Throttle Not Issued,806.0,785.0,930.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,151.0,319.0,215.0
Warp Stalls - Misc Not Issued,8.0,3.0,4.0
Warp Stalls - No Instructions Not Issued,1184.0,1008.0,473.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,579.0,453.0,283.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,2.0,0.0,0.0
Warp Stalls - Wait Not Issued,2328.0,1370.0,1117.0
Occupancy,358.22999999999996,566.8899999999999,670.9000000000001
