,omp input.txt 625,sycl input.txt 625,cuda input.txt 625
Runtime,7999320.0,4544695.0,4858040.0
HtoD copy time,5566835.0,6745400.0,6217640.0
DtoH copy time,2013130.0,2843440.0,2227250.0
Instructions Executed,498980.8699999965,420135.91999998863,500112.1800000131
IPC,0.09234800000000355,0.10873599999999994,0.08974400000000231
Shared Memory Stores,0.0,0.0,0.0
Shared Memory Loads,0.0,0.0,0.0
Shared Memory Store Bank Conflicts,0.0,0.0,0.0
Shared Memory Load Bank Conflicts,0.0,0.0,0.0
Global Memory Load Instructions,18750.0,37500.0,37500.0
Global Memory Store Instructions,3750.0,7500.0,7500.0
Global Memory Load (MB),1882599.5000000894,1069869.9699999897,8409.059999999972
Global Memory Store (MB),0.0,0.0,0.0
Global Memory Load Throughput (GB/s),750.8641840000043,852.9541120000193,1.2312080000000094
Global Memory Store Throughput (GB/s),0.0,0.0,0.0
Global Memory Load Bank Conflicts,5000.0,0.0,0.0
Global Memory Store Bank Conflicts,0.0,0.0,0.0
L1 Cache Accesses (Bytes),1543807.8299999868,1165565.629999968,897861.5799999919
L1 Cache Hits (%),41.66500000000073,72.0,72.0
L1 Cache Throughput (GB/s),360.7531319999992,929.252503999996,715.0892640000081
L2 Cache Accesses (Bytes),1385873.249999992,863198.9799999857,738920.2199999932
L2 Cache Hits (%),101.77758000000054,98.61938399999784,88.81628800000082
L2 Cache Throughput (GB/s),552.7464279999931,688.1873599999927,588.5066399999984
#Divergent Branches,2500.0,2500.0,2500.0
Warp Stalls - Barrier Not Issued,2868.0,1119.0,1514.0
Warp Stalls - Branch Resolving Not Issued,50.0,10.0,35.0
Warp Stalls - Dispatch Stall Not Issued,1.0,0.0,0.0
Warp Stalls - Drain Not Issued,19.0,16.0,47.0
Warp Stalls - IMC Miss Not Issued,784.0,1024.0,1787.0
Warp Stalls - LG Throttle Not Issued,0.0,0.0,0.0
Warp Stalls - Long Scoreboard Not Issued,0.0,286.0,631.0
Warp Stalls - Math Pipe Throttle Not Issued,7.0,0.0,0.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,0.0,0.0,0.0
Warp Stalls - Misc Not Issued,3.0,0.0,1.0
Warp Stalls - No Instructions Not Issued,689.0,1122.0,521.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,147.0,6.0,59.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,0.0,0.0,0.0
Warp Stalls - Wait Not Issued,303.0,34.0,214.0
Occupancy,31112.599999999977,11514.239999999829,12932.960000000081
#Threads,,256.0,256.0
#Teams,,1.0,1.0
