,omp 3 100,sycl 3 100,cuda 3 100
Runtime,749286455.0,204098410.0,147790090.0
HtoD copy time,170682770.0,119974955.0,169140020.0
DtoH copy time,187532575.0,323757720.0,359707175.0
Instructions Executed,31627673672.00008,25622675662.920013,23550886163.560028
IPC,0.3599999999999996,1.024356435643566,1.3641584158415891
Shared Memory Stores,498073600.0,423624704.0,423624704.0
Shared Memory Loads,445644800.0,423624704.0,423624704.0
Shared Memory Store Bank Conflicts,0.0,18516859.0,0.0
Shared Memory Load Bank Conflicts,140978670.0,59544705.0,76945702.0
Global Memory Load Instructions,2595225600.0,2329935872.0,2329935872.0
Global Memory Store Instructions,209715200.0,105906176.0,105906176.0
Global Memory Load (MB),211304.40000000002,103647.29000000015,126719.98000000008
Global Memory Store (MB),90612.37999999995,144057.79,127537.30000000003
Global Memory Load Throughput (GB/s),215.46145000000016,244.63396039603967,358.8559405940594
Global Memory Store Throughput (GB/s),451.2974000000002,340.01287128712875,361.17207920792083
Global Memory Load Bank Conflicts,982830551.0,220906833.0,231167141.0
Global Memory Store Bank Conflicts,467708281.0,6930957.0,22538367.0
L1 Cache Accesses (Bytes),1242.5899999999986,621.6800000000037,650.2700000000007
L1 Cache Hits (%),51.787099999999946,63.487425742574224,60.565495049504875
L1 Cache Throughput (GB/s),1.2679500000000028,1.467623762376238,1.8391584158415863
L2 Cache Accesses (Bytes),187983.80000000034,347223.16000000027,156128.54000000015
L2 Cache Hits (%),76.97850000000005,70.19534653465342,65.25995049504968
L2 Cache Throughput (GB/s),936.2654999999997,819.5349504950491,1.0315346534653467
#Divergent Branches,0.0,0.0,0.0
Warp Stalls - Barrier Not Issued,1215894.0,119533.0,74921.0
Warp Stalls - Branch Resolving Not Issued,65762.0,177352.0,50115.0
Warp Stalls - Dispatch Stall Not Issued,8455.0,16787.0,13846.0
Warp Stalls - Drain Not Issued,1744.0,84006.0,29298.0
Warp Stalls - IMC Miss Not Issued,3134.0,6659.0,8957.0
Warp Stalls - LG Throttle Not Issued,7999882.0,243810.0,420465.0
Warp Stalls - Long Scoreboard Not Issued,6420435.0,476423.0,273571.0
Warp Stalls - Math Pipe Throttle Not Issued,72754.0,225120.0,294264.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,386270.0,36986.0,70706.0
Warp Stalls - Misc Not Issued,1855.0,3027.0,2527.0
Warp Stalls - No Instructions Not Issued,28878.0,842332.0,562739.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,131555.0,220121.0,55756.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,129.0,0.0,18.0
Warp Stalls - Wait Not Issued,636347.0,1413279.0,458666.0
Occupancy,7320.94,2470.7800000000016,7361.709999999987
