,omp 3 100 omp offloading kernel,sycl 3 100 sycl kernel,cuda 3 100 cuda_kernel
Runtime,204694430.0,204698435.0,145875930.0
HtoD copy time,38504335.0,35677630.0,37428120.0
DtoH copy time,49004460.0,100739525.0,103894660.0
Instructions Executed,27761049820.599987,25622675662.880024,23550886163.710033
IPC,1.1030000000000006,1.0241584158415857,1.3649009900990148
Shared Memory Stores,498073600.0,423624704.0,423624704.0
Shared Memory Loads,445644800.0,423624704.0,423624704.0
Shared Memory Store Bank Conflicts,16430843.0,18437637.0,0.0
Shared Memory Load Bank Conflicts,81173756.0,59444944.0,77022517.0
Global Memory Load Instructions,2411724800.0,2329935872.0,2329935872.0
Global Memory Store Instructions,209715200.0,105906176.0,105906176.0
Global Memory Load (MB),102003.59999999989,103638.61000000019,126539.74000000017
Global Memory Store (MB),147267.43999999992,144051.55999999997,127366.36000000007
Global Memory Load Throughput (GB/s),241.04400000000015,244.59079207920794,357.963811881188
Global Memory Store Throughput (GB/s),348.00720000000007,339.9660891089108,360.30391089108906
Global Memory Load Bank Conflicts,596319158.0,219872471.0,231047545.0
Global Memory Store Bank Conflicts,435124323.0,6900147.0,22485397.0
L1 Cache Accesses (Bytes),724.8300000000014,621.6800000000036,649.2400000000009
L1 Cache Hits (%),82.73925000000004,63.48975247524749,60.56321782178211
L1 Cache Throughput (GB/s),1.7141499999999996,1.4676237623762383,1.8340594059405924
L2 Cache Accesses (Bytes),439.95000000000164,347192.4700000001,156128.87000000017
L2 Cache Hits (%),76.85310000000003,70.19995049504946,65.26232673267347
L2 Cache Throughput (GB/s),1.039750000000001,819.3853960396034,1.0292079207920806
#Divergent Branches,0.0,0.0,0.0
Warp Stalls - Barrier Not Issued,325257.0,136060.0,75207.0
Warp Stalls - Branch Resolving Not Issued,241534.0,200986.0,50214.0
Warp Stalls - Dispatch Stall Not Issued,44502.0,19054.0,13949.0
Warp Stalls - Drain Not Issued,5126.0,91685.0,31514.0
Warp Stalls - IMC Miss Not Issued,14515.0,4436.0,8797.0
Warp Stalls - LG Throttle Not Issued,1933351.0,281803.0,419706.0
Warp Stalls - Long Scoreboard Not Issued,650915.0,535264.0,260083.0
Warp Stalls - Math Pipe Throttle Not Issued,475458.0,250376.0,296087.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,113876.0,41296.0,73035.0
Warp Stalls - Misc Not Issued,6513.0,3347.0,2601.0
Warp Stalls - No Instructions Not Issued,1612774.0,958546.0,566070.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,306305.0,248763.0,55582.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,66.0,0.0,37.0
Warp Stalls - Wait Not Issued,1769103.0,1597846.0,456986.0
Occupancy,3393.479999999999,2470.8500000000017,7361.919999999994
