,omp 6250 131072 1 omp offloading kernel,sycl 6250 131072 1 sycl kernel,cuda 6250 131072 1 cuda_kernel
Runtime,175017635.0,15908970.0,12428260.0
HtoD copy time,248890.0,341175.0,339830.0
DtoH copy time,11485.0,7515.0,7995.0
#Threads,32.0,256.0,256.0
#Teams,196.0,25.0,25.0
Instructions Executed,2389365190.23,620295578.0299999,533346724.6999997
IPC,0.23,0.8134374999999999,1.1468749999999999
Shared Memory Stores,1666.0,0.0,0.0
Shared Memory Loads,7638.0,0.0,0.0
Shared Memory Store Bank Conflicts,0.0,0.0,0.0
Shared Memory Load Bank Conflicts,60.0,0.0,0.0
Global Memory Load Instructions,490.0,128481920.0,51411584.0
Global Memory Store Instructions,779.0,12544.0,12544.0
Global Memory Load (MB),21.61,18246.98999999999,22510.29999999998
Global Memory Store (MB),7.3,0.0,0.0
Global Memory Load Throughput (GB/s),18.39,353.60468750000007,492.6690625
Global Memory Store Throughput (GB/s),6.21,0.0,0.0
Global Memory Load Bank Conflicts,28794.0,0.0,0.0
Global Memory Store Bank Conflicts,240546.0,0.0,0.0
L1 Cache Accesses (Bytes),160.52,10835.149999999996,5506.0700000000015
L1 Cache Hits (%),97.55,98.30999999999996,98.17000000000004
L1 Cache Throughput (GB/s),136.62,209.96843749999996,120.50468749999999
L2 Cache Accesses (Bytes),48.29,187.75999999999985,138.01000000000008
L2 Cache Hits (%),99.96,94.14437499999997,86.50437499999997
L2 Cache Throughput (GB/s),41.1,3.6375,3.022812500000001
#Divergent Branches,3719.0,0.0,0.0
Warp Stalls - Barrier Not Issued,0.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,298689.0,902.0,1634.0
Warp Stalls - Dispatch Stall Not Issued,17659.0,224.0,221.0
Warp Stalls - Drain Not Issued,0.0,34.0,52.0
Warp Stalls - IMC Miss Not Issued,35.0,539.0,478.0
Warp Stalls - LG Throttle Not Issued,396.0,38281.0,990.0
Warp Stalls - Long Scoreboard Not Issued,778408.0,335887.0,38177.0
Warp Stalls - Math Pipe Throttle Not Issued,13.0,5794.0,4248.0
Warp Stalls - Membar Not Issued,10106.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,0.0,1578.0,4816.0
Warp Stalls - Misc Not Issued,4.0,54.0,39.0
Warp Stalls - No Instructions Not Issued,64463.0,2967.0,2060.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,178690.0,7635.0,162535.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,0.0,0.0,0.0
Warp Stalls - Wait Not Issued,1433293.0,72373.0,75557.0
Occupancy,1.56,392.0,392.0
