,omp 3840 2160 128 50,sycl 3840 2160 128 50,cuda 3840 2160 128 50
Runtime,7103870.0,6999450.0,7040550.0
HtoD copy time,790133255.0,677623255.0,795612790.0
DtoH copy time,16101800.0,13493620.0,16066060.0
#Threads,128.0,128.0,128.0
#Teams,3200.0,64800.0,64800.0
Instructions Executed,828000055.6800005,570240035.8500006,557280034.7899997
IPC,1.1135999999999997,0.7169999999999996,0.6958
Shared Memory Stores,0.0,0.0,0.0
Shared Memory Loads,0.0,0.0,0.0
Shared Memory Store Bank Conflicts,0.0,0.0,0.0
Shared Memory Load Bank Conflicts,0.0,0.0,0.0
Global Memory Load Instructions,38880000.0,38880000.0,38880000.0
Global Memory Store Instructions,51840000.0,51840000.0,51840000.0
Global Memory Load (MB),13612.470000000005,13635.220000000007,13709.550000000005
Global Memory Store (MB),13192.559999999994,13214.959999999997,13286.439999999995
Global Memory Load Throughput (GB/s),239.06939999999997,239.52439999999999,241.0107999999999
Global Memory Store Throughput (GB/s),231.69119999999998,232.1392000000001,233.57600000000005
Global Memory Load Bank Conflicts,9410086.0,9793706.0,9766919.0
Global Memory Store Bank Conflicts,26375537.0,26861322.0,26875467.0
L1 Cache Accesses (Bytes),11695.679999999997,11695.830000000002,11696.33
L1 Cache Hits (%),85.71000000000002,85.71000000000002,85.71000000000002
L1 Cache Throughput (GB/s),1.6736000000000006,1.6766000000000016,1.6865999999999997
L2 Cache Accesses (Bytes),8354.779999999986,8354.400000000001,8354.740000000003
L2 Cache Hits (%),80.17999999999995,80.17300000000002,80.17020000000004
L2 Cache Throughput (GB/s),1.1955999999999998,1.197800000000001,1.2048000000000008
#Divergent Branches,0.0,0.0,0.0
Warp Stalls - Barrier Not Issued,28988.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,1636.0,2596.0,1569.0
Warp Stalls - Dispatch Stall Not Issued,99.0,262.0,32.0
Warp Stalls - Drain Not Issued,39.0,40964.0,25135.0
Warp Stalls - IMC Miss Not Issued,1408.0,1479.0,629.0
Warp Stalls - LG Throttle Not Issued,85336.0,91732.0,43397.0
Warp Stalls - Long Scoreboard Not Issued,93691.0,104065.0,49515.0
Warp Stalls - Math Pipe Throttle Not Issued,242.0,162.0,97.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,895.0,6082.0,2908.0
Warp Stalls - Misc Not Issued,90.0,58.0,93.0
Warp Stalls - No Instructions Not Issued,1104.0,1534.0,753.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,3502.0,10320.0,5269.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,851.0,0.0,0.0
Warp Stalls - Wait Not Issued,12675.0,7290.0,4147.0
Occupancy,4406.72,3965.8200000000006,3956.0099999999998
