,omp 250,sycl 250,cuda 250
Runtime,2407323255.0,675083800.0,709628960.0
HtoD copy time,1301630.0,1340995.0,1318730.0
DtoH copy time,6340.0,6240.0,5890.0
#Threads,32.0,256.0,256.0
#Teams,25.0,4.0,4.0
Instructions Executed,4734895552.500008,4781716056.859993,4992556304.9999895
IPC,0.2100000000000007,1.2274400000000005,1.2200000000000037
Shared Memory Stores,0.0,0.0,0.0
Shared Memory Loads,0.0,0.0,0.0
Shared Memory Store Bank Conflicts,0.0,0.0,0.0
Shared Memory Load Bank Conflicts,0.0,0.0,0.0
Global Memory Load Instructions,375037500.0,375037500.0,375037500.0
Global Memory Store Instructions,18750.0,18750.0,18750.0
Global Memory Load (MB),57806.499999999905,70209.72000000032,70106.52999999977
Global Memory Store (MB),0.0,42921.539999999964,0.0
Global Memory Load Throughput (GB/s),19.471959999999992,71.46024,68.75356000000009
Global Memory Store Throughput (GB/s),0.0,43.686160000000015,0.0
Global Memory Load Bank Conflicts,0.0,3968.0,4394.0
Global Memory Store Bank Conflicts,0.0,2827.0,3334.0
L1 Cache Accesses (Bytes),10545.109999999959,12953.409999999934,12794.129999999966
L1 Cache Hits (%),87.47999999999965,97.97000000000018,97.97000000000018
L1 Cache Throughput (GB/s),3.550439999999985,13.183639999999999,12.546520000000001
L2 Cache Accesses (Bytes),142345.3599999999,268126.21000000066,264449.94000000064
L2 Cache Hits (%),98.59647999999991,87.5374399999999,88.36292000000003
L2 Cache Throughput (GB/s),563.2539200000001,272.9021599999999,259.34452000000005
#Divergent Branches,250.0,0.0,0.0
Warp Stalls - Barrier Not Issued,112.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,1143802.0,154776.0,307989.0
Warp Stalls - Dispatch Stall Not Issued,6.0,46.0,8298.0
Warp Stalls - Drain Not Issued,12.0,32.0,34.0
Warp Stalls - IMC Miss Not Issued,5887.0,745.0,896.0
Warp Stalls - LG Throttle Not Issued,0.0,458.0,422.0
Warp Stalls - Long Scoreboard Not Issued,3404388.0,584465.0,426682.0
Warp Stalls - Math Pipe Throttle Not Issued,22.0,49385.0,55634.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,0.0,0.0,0.0
Warp Stalls - Misc Not Issued,36.0,9.0,2186.0
Warp Stalls - No Instructions Not Issued,279348.0,39572.0,54818.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,2379308.0,341451.0,163524.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,0.0,0.0,0.0
Warp Stalls - Wait Not Issued,9021672.0,1125615.0,1351217.0
Occupancy,390.0000000000005,2449.8399999999974,2449.980000000001
