,omp 8388608 100,sycl 8388608 100,cuda 8388608 100
Runtime,33877470.0,28705035.0,28929870.0
HtoD copy time,1331766800.0,1318271370.0,1357091950.0
DtoH copy time,2226194905.0,3565712580.0,3620576995.0
Instructions Executed,3928375861.0900083,3178159181.089993,2757908434.9699974
IPC,1.2036333333333313,1.2702999999999995,1.1165666666666685
Shared Memory Stores,177294400.0,59098300.0,59098300.0
Shared Memory Loads,288923000.0,238033100.0,119837400.0
Shared Memory Store Bank Conflicts,1418275.0,2288107.0,2311649.0
Shared Memory Load Bank Conflicts,55268089.0,57280622.0,6952142.0
Global Memory Load Instructions,26265800.0,26265800.0,26265800.0
Global Memory Store Instructions,45965400.0,34474200.0,34474200.0
Global Memory Load (MB),133766.36000000048,120203.69000000008,143227.01000000004
Global Memory Store (MB),31533.730000000003,38200.18999999999,38382.08000000002
Global Memory Load Throughput (GB/s),410.5293666666672,366.15559999999937,442.0362666666672
Global Memory Store Throughput (GB/s),94.40323333333332,116.63509999999995,117.24543333333335
Global Memory Load Bank Conflicts,2121541.0,2354806.0,2114812.0
Global Memory Store Bank Conflicts,1453836.0,1586788.0,1473898.0
L1 Cache Accesses (Bytes),127915.9299999996,144610.23999999953,143238.67999999973
L1 Cache Hits (%),12.133333333333335,12.149766666666684,12.221733333333345
L1 Cache Throughput (GB/s),241.44643333333326,297.09413333333316,292.52226666666695
L2 Cache Accesses (Bytes),123267.81000000004,141909.34999999986,142370.94000000012
L2 Cache Hits (%),75.48306666666662,75.93770000000004,71.59326666666693
L2 Cache Throughput (GB/s),341.47666666666686,403.74086666666597,404.6880333333335
#Divergent Branches,8208400.0,8208400.0,8208400.0
Warp Stalls - Barrier Not Issued,51653.0,26068.0,31743.0
Warp Stalls - Branch Resolving Not Issued,5744.0,3886.0,4273.0
Warp Stalls - Dispatch Stall Not Issued,407.0,225.0,295.0
Warp Stalls - Drain Not Issued,128.0,313.0,438.0
Warp Stalls - IMC Miss Not Issued,4073.0,4604.0,4900.0
Warp Stalls - LG Throttle Not Issued,16.0,6.0,16.0
Warp Stalls - Long Scoreboard Not Issued,17775.0,26048.0,52966.0
Warp Stalls - Math Pipe Throttle Not Issued,1748.0,1799.0,3810.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,11754.0,1752.0,613.0
Warp Stalls - Misc Not Issued,188.0,82.0,109.0
Warp Stalls - No Instructions Not Issued,6282.0,4478.0,8059.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,3553.0,1364.0,1762.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,2387.0,254.0,291.0
Warp Stalls - Wait Not Issued,15080.0,11628.0,10306.0
Occupancy,10880.059999999996,10634.309999999998,10646.189999999991
