,hybridsort r
Runtime,430893900.0
HtoD copy time,102083290.0
DtoH copy time,60623740.0
Instructions Executed,970439147.38
IPC,0.319
Shared Memory Stores,787456.0
Shared Memory Loads,1959300.0
Shared Memory Store Bank Conflicts,8788.0
Shared Memory Load Bank Conflicts,3920947.0
Global Memory Load Instructions,52427578.0
Global Memory Store Instructions,13105410.0
Global Memory Load (MB),6861.79
Global Memory Store (MB),8350.269999999999
Global Memory Load Throughput (GB/s),211.3915
Global Memory Store Throughput (GB/s),153.41699999999994
Global Memory Load Bank Conflicts,150450420.0
Global Memory Store Bank Conflicts,67483784.0
L1 Cache Accesses (Bytes),5811.000000000001
L1 Cache Hits (%),40.486000000000004
L1 Cache Throughput (GB/s),220.59250000000006
L2 Cache Accesses (Bytes),12749.600000000004
L2 Cache Hits (%),51.33199999999998
L2 Cache Throughput (GB/s),298.5035
#Divergent Branches,549601.0
Warp Stalls - Barrier Not Issued,161.0
Warp Stalls - Branch Resolving Not Issued,9735.0
Warp Stalls - Dispatch Stall Not Issued,1119.0
Warp Stalls - Drain Not Issued,6714.0
Warp Stalls - IMC Miss Not Issued,636.0
Warp Stalls - LG Throttle Not Issued,934575.0
Warp Stalls - Long Scoreboard Not Issued,1184567.0
Warp Stalls - Math Pipe Throttle Not Issued,3601.0
Warp Stalls - Membar Not Issued,0.0
Warp Stalls - MIO Throttle Not Issued,4005.0
Warp Stalls - Misc Not Issued,225.0
Warp Stalls - No Instructions Not Issued,2793.0
Warp Stalls - Not Selected Not Issued,0.0
Warp Stalls - Selected Not Issued,0.0
Warp Stalls - Short Scoreboard Not Issued,56505.0
Warp Stalls - Sleeping Not Issued,0.0
Warp Stalls - TEX Throttle Not Issued,0.0
Warp Stalls - Wait Not Issued,64796.0
Occupancy,793.5
