,omp 100 omp offloading kernel,sycl 100 sycl kernel,cuda 100 cuda_kernel
Runtime,2058298205.0,2054939760.0,2077589765.0
HtoD copy time,97300.0,95540.0,95155.0
DtoH copy time,52545.0,52380.0,45785.0
Instructions Executed,8705024060.999966,8578572860.000039,8547020858.990051
IPC,0.30499999999999977,0.30000000000000077,0.2949500000000015
Shared Memory Stores,0.0,0.0,0.0
Shared Memory Loads,0.0,0.0,0.0
Shared Memory Store Bank Conflicts,0.0,0.0,0.0
Shared Memory Load Bank Conflicts,0.0,0.0,0.0
Global Memory Load Instructions,1678131200.0,1678131200.0,1678131200.0
Global Memory Store Instructions,1677721600.0,1677721600.0,1677721600.0
Global Memory Load (MB),129899.45999999992,130249.99999999987,130080.93999999981
Global Memory Store (MB),0.0,805.4200000000001,13424.399999999989
Global Memory Load Throughput (GB/s),117.95739999999995,117.88354999999993,117.99664999999996
Global Memory Store Throughput (GB/s),0.0,0.18710000000000002,3.122
Global Memory Load Bank Conflicts,11158034010.0,11159453318.0,11158114987.0
Global Memory Store Bank Conflicts,10066464944.0,10066692212.0,10066444376.0
L1 Cache Accesses (Bytes),171145.4099999994,170990.50999999934,171053.8499999991
L1 Cache Hits (%),99.98999999999987,99.98500000000008,99.98999999999987
L1 Cache Throughput (GB/s),846.0620500000006,845.2875500000005,845.6042499999994
L2 Cache Accesses (Bytes),85609.58999999956,85510.11999999962,85539.81999999957
L2 Cache Hits (%),99.97485000000005,99.97495000000002,99.97480000000003
L2 Cache Throughput (GB/s),423.2179499999997,422.7206,422.8690999999997
#Divergent Branches,0.0,0.0,0.0
Warp Stalls - Barrier Not Issued,173077.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,37959.0,22320.0,18932.0
Warp Stalls - Dispatch Stall Not Issued,297.0,206.0,0.0
Warp Stalls - Drain Not Issued,22.0,423.0,409.0
Warp Stalls - IMC Miss Not Issued,2385.0,2053.0,1880.0
Warp Stalls - LG Throttle Not Issued,7359254.0,7436582.0,7386956.0
Warp Stalls - Long Scoreboard Not Issued,33055250.0,33238531.0,33280238.0
Warp Stalls - Math Pipe Throttle Not Issued,294.0,587.0,221.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,0.0,0.0,0.0
Warp Stalls - Misc Not Issued,111.0,74.0,0.0
Warp Stalls - No Instructions Not Issued,26722.0,25823.0,14309.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,6116.0,6171.0,2316.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,0.0,0.0,0.0
Warp Stalls - Wait Not Issued,2283871.0,2264204.0,2259615.0
Occupancy,2500.0,2493.0899999999992,2494.0700000000047
