,omp omp offloading kernel,sycl sycl kernel,cuda cuda_kernel
Runtime,551741665.0,362168855.0,674442570.0
HtoD copy time,12730.0,11195.0,11745.0
DtoH copy time,21055.0,24735.0,23740.0
Instructions Executed,64862623816.399994,43618702604.5,87782849507.82
IPC,0.68,0.7,0.764
Shared Memory Stores,2563056955.0,2562954555.0,3165940101.0
Shared Memory Loads,1437772212.0,1955060219.0,1437731252.0
Shared Memory Store Bank Conflicts,53803054.0,53803064.0,53803054.0
Shared Memory Load Bank Conflicts,61662110.0,89073962.0,61662108.0
Global Memory Load Instructions,0.0,0.0,0.0
Global Memory Store Instructions,568.0,568.0,568.0
Global Memory Load (MB),1417.98,933.12,941.2500000000001
Global Memory Store (MB),0.0,0.0,0.0
Global Memory Load Throughput (GB/s),261.754,166.222,166.752
Global Memory Store Throughput (GB/s),0.0,0.0,0.0
Global Memory Load Bank Conflicts,0.0,0.0,0.0
Global Memory Store Bank Conflicts,0.0,0.0,0.0
L1 Cache Accesses (Bytes),510.2800000000001,631.49,477.75000000000006
L1 Cache Hits (%),28.846000000000004,22.988,22.788
L1 Cache Throughput (GB/s),45.44,69.68199999999999,38.934
L2 Cache Accesses (Bytes),1463.46,1909.89,3024.1400000000003
L2 Cache Hits (%),105.396,378.062,517.162
L2 Cache Throughput (GB/s),119.46400000000001,365.68,463.76599999999996
#Divergent Branches,310850705.0,310846230.0,247889510.0
Warp Stalls - Barrier Not Issued,95.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,350215.0,287432.0,315691.0
Warp Stalls - Dispatch Stall Not Issued,815.0,834.0,585.0
Warp Stalls - Drain Not Issued,3.0,3.0,4.0
Warp Stalls - IMC Miss Not Issued,33.0,188.0,110.0
Warp Stalls - LG Throttle Not Issued,1.0,0.0,0.0
Warp Stalls - Long Scoreboard Not Issued,5.0,5.0,2.0
Warp Stalls - Math Pipe Throttle Not Issued,0.0,3.0,0.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,2333.0,8415.0,1336.0
Warp Stalls - Misc Not Issued,7572.0,282.0,3640.0
Warp Stalls - No Instructions Not Issued,111455.0,94615.0,108937.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,35279.0,144545.0,46082.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,1.0,0.0,0.0
Warp Stalls - Wait Not Issued,1721104.0,1762763.0,1697939.0
Occupancy,36.91,37.15,36.31
