,omp -s 8192 omp offloading kernel,sycl -s 8192 sycl kernel,cuda -s 8192 cuda_kernel
Runtime,274299315.0,263130550.0,194494590.0
HtoD copy time,35077990.0,35237780.0,36135950.0
DtoH copy time,30020950.0,48778700.0,49466520.0
Instructions Executed,64830141142.96965,45194727303.04968,20470613447.070076
IPC,0.8076727509778522,0.5886897001303731,0.46353976531943225
Shared Memory Stores,2895615488.0,753500416.0,397815808.0
Shared Memory Loads,8283276800.0,11494808576.0,1507154688.0
Shared Memory Store Bank Conflicts,147744033.0,151765661.0,132993414.0
Shared Memory Load Bank Conflicts,413048097.0,455474271.0,196309404.0
Global Memory Load Instructions,1076885504.0,1076754688.0,720019456.0
Global Memory Store Instructions,360798208.0,360798208.0,360929024.0
Global Memory Load (MB),640993.499999996,688655.7799999993,692458.2800000014
Global Memory Store (MB),233776.57,239706.17000000013,272635.6599999999
Global Memory Load Throughput (GB/s),219.08979139504552,249.12738591916602,252.48706649282914
Global Memory Store Throughput (GB/s),90.77611473272486,94.73481095176011,106.93857235984353
Global Memory Load Bank Conflicts,1132710343.0,1139989597.0,865425247.0
Global Memory Store Bank Conflicts,382270569.0,383590642.0,372574113.0
L1 Cache Accesses (Bytes),680593.0199999944,709106.6099999953,697085.8099999956
L1 Cache Hits (%),46.15387874837021,45.96406127770517,49.992594524120086
L1 Cache Throughput (GB/s),267.49537157757493,286.0815123859192,295.56271186440665
L2 Cache Accesses (Bytes),684905.0200000047,680386.8700000038,626107.2500000023
L2 Cache Hits (%),74.28097783572348,69.99892438070324,66.34513037809693
L2 Cache Throughput (GB/s),267.2366818774451,265.00123859191723,258.27176662320653
#Divergent Branches,407808.0,407808.0,407808.0
Warp Stalls - Barrier Not Issued,1081879.0,375972.0,358586.0
Warp Stalls - Branch Resolving Not Issued,115404.0,32374.0,38154.0
Warp Stalls - Dispatch Stall Not Issued,3985.0,16709.0,11181.0
Warp Stalls - Drain Not Issued,7453.0,99591.0,132099.0
Warp Stalls - IMC Miss Not Issued,35784.0,33885.0,27479.0
Warp Stalls - LG Throttle Not Issued,5445.0,736.0,3395.0
Warp Stalls - Long Scoreboard Not Issued,2323764.0,4330870.0,4737552.0
Warp Stalls - Math Pipe Throttle Not Issued,89751.0,27095.0,17718.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,1599211.0,2034785.0,205441.0
Warp Stalls - Misc Not Issued,7943.0,7264.0,5087.0
Warp Stalls - No Instructions Not Issued,205386.0,214165.0,132865.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,330768.0,246594.0,342072.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,30265.0,23.0,296.0
Warp Stalls - Wait Not Issued,527505.0,512846.0,389207.0
Occupancy,49812.67999999958,48232.629999999626,47136.65999999959
