,omp 12 omp offloading kernel,sycl 12 sycl kernel,cuda 12 cuda_kernel
Runtime,7314629295.0,6077780900.0,7183032590.0
HtoD copy time,1646365.0,1790255.0,2232895.0
DtoH copy time,133775.0,131365.0,121525.0
Instructions Executed,419252441268.6992,300732200603.9798,365850624181.39984
IPC,1.5058333333333327,1.2998333333333336,1.5116666666666663
Shared Memory Stores,3106099200.0,2331475968.0,3350790144.0
Shared Memory Loads,50661746688.0,29419130880.0,49123971072.0
Shared Memory Store Bank Conflicts,2330174480.0,4592403441.0,2193383634.0
Shared Memory Load Bank Conflicts,90432424663.0,13943422983.0,90194417181.0
Global Memory Load Instructions,29398007808.0,27483955200.0,28691988480.0
Global Memory Store Instructions,835584.0,138240.0,184320.0
Global Memory Load (MB),17188.100000000002,15389.150000000007,12523.400000000007
Global Memory Store (MB),16230.060000000012,14724.610000000011,14168.649999999998
Global Memory Load Throughput (GB/s),36.36391666666667,87.72425000000014,62.5443333333333
Global Memory Store Throughput (GB/s),133.12525,117.26375000000004,116.25033333333327
Global Memory Load Bank Conflicts,306064171732.0,293463571292.0,305827668437.0
Global Memory Store Bank Conflicts,7615394.0,55414090.0,13233.0
L1 Cache Accesses (Bytes),45394.830000000045,61357.45000000002,45773.530000000064
L1 Cache Hits (%),65.64833333333337,59.47575000000001,38.98450000000001
L1 Cache Throughput (GB/s),367.2122499999997,394.53775000000024,375.31508333333346
L2 Cache Accesses (Bytes),29972.98,39904.19000000001,29406.489999999998
L2 Cache Hits (%),98.77774999999998,99.15116666666671,99.58841666666665
L2 Cache Throughput (GB/s),241.03616666666662,219.8652500000001,239.72825
#Divergent Branches,50343936.0,26738688.0,50331648.0
Warp Stalls - Barrier Not Issued,12163352.0,6740692.0,10099651.0
Warp Stalls - Branch Resolving Not Issued,665329.0,383422.0,227608.0
Warp Stalls - Dispatch Stall Not Issued,26920.0,17331.0,33819.0
Warp Stalls - Drain Not Issued,47.0,93.0,83.0
Warp Stalls - IMC Miss Not Issued,3195.0,1601.0,2644.0
Warp Stalls - LG Throttle Not Issued,23455702.0,23226059.0,37312737.0
Warp Stalls - Long Scoreboard Not Issued,20915677.0,20740127.0,5722695.0
Warp Stalls - Math Pipe Throttle Not Issued,605079.0,467856.0,483228.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,14151764.0,5043646.0,13802754.0
Warp Stalls - Misc Not Issued,19232.0,8211.0,11351.0
Warp Stalls - No Instructions Not Issued,375588.0,234802.0,105768.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,12450259.0,7299906.0,13263079.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,4666.0,2275.0,10200.0
Warp Stalls - Wait Not Issued,6317215.0,5324366.0,3632312.0
Occupancy,4582.169999999999,4100.24,5104.430000000001
