,SierrasRGB.ppm 1000
Runtime,188606215.0
HtoD copy time,688137555.0
DtoH copy time,689647340.0
#Threads,64.0
#Teams,32400.0
Instructions Executed,64469907726.57107
IPC,3.224345654345626
Shared Memory Stores,583242660.0
Shared Memory Loads,583783200.0
Shared Memory Store Bank Conflicts,99597561.0
Shared Memory Load Bank Conflicts,590327302.0
Global Memory Load Instructions,291351060.0
Global Memory Store Instructions,64864800.0
Global Memory Load (MB),49806.040000000605
Global Memory Store (MB),42914.6600000007
Global Memory Load Throughput (GB/s),41.45600399600399
Global Memory Store Throughput (GB/s),35.71984015984013
Global Memory Load Bank Conflicts,169827974.0
Global Memory Store Bank Conflicts,39418670.0
L1 Cache Accesses (Bytes),197691.96000000165
L1 Cache Hits (%),9.57269730269731
L1 Cache Throughput (GB/s),164.5425874125875
L2 Cache Accesses (Bytes),183898.19000000044
L2 Cache Hits (%),74.85050949050945
L2 Cache Throughput (GB/s),153.0616083916087
#Divergent Branches,129968839.0
Warp Stalls - Barrier Not Issued,207141.0
Warp Stalls - Branch Resolving Not Issued,15900.0
Warp Stalls - Dispatch Stall Not Issued,15721.0
Warp Stalls - Drain Not Issued,6254.0
Warp Stalls - IMC Miss Not Issued,24012.0
Warp Stalls - LG Throttle Not Issued,0.0
Warp Stalls - Long Scoreboard Not Issued,265767.0
Warp Stalls - Math Pipe Throttle Not Issued,784616.0
Warp Stalls - Membar Not Issued,0.0
Warp Stalls - MIO Throttle Not Issued,15780.0
Warp Stalls - Misc Not Issued,531.0
Warp Stalls - No Instructions Not Issued,34470.0
Warp Stalls - Not Selected Not Issued,0.0
Warp Stalls - Selected Not Issued,0.0
Warp Stalls - Short Scoreboard Not Issued,7015.0
Warp Stalls - Sleeping Not Issued,0.0
Warp Stalls - TEX Throttle Not Issued,0.0
Warp Stalls - Wait Not Issued,320413.0
Occupancy,52062.009999999995
