,omp --niterations 100,sycl --niterations 100,cuda --niterations 100
Runtime,6222675305.0,12477997700.0,3285712650.0
HtoD copy time,4697565.0,46265.0,46365.0
DtoH copy time,4376720.0,4639295.0,3764355.0
Instructions Executed,2242150972.0000043,2148796970.9999995,2084318615.000005
IPC,0.18000000000000058,0.42750000000000055,0.5374999999999981
Shared Memory Stores,0.0,0.0,0.0
Shared Memory Loads,0.0,0.0,0.0
Shared Memory Store Bank Conflicts,0.0,0.0,0.0
Shared Memory Load Bank Conflicts,0.0,0.0,0.0
Global Memory Load Instructions,264714000.0,264000000.0,264000000.0
Global Memory Store Instructions,74316000.0,85008000.0,85008000.0
Global Memory Load (MB),47362.92999999989,18136.870000000028,17095.06000000003
Global Memory Store (MB),13674.469999999981,17653.829999999864,17610.209999999995
Global Memory Load Throughput (GB/s),104.7974,13.663949999999991,12.096724999999983
Global Memory Store Throughput (GB/s),5.829650000000014,8.105150000000021,8.051850000000009
Global Memory Load Bank Conflicts,1273006400.0,1091348750.0,1090084632.0
Global Memory Store Bank Conflicts,432387800.0,416812346.0,415945131.0
L1 Cache Accesses (Bytes),20363.889999999996,26062.210000000086,25994.289999999997
L1 Cache Hits (%),93.20750000000038,86.51577500000003,86.64032500000003
L1 Cache Throughput (GB/s),31.329724999999943,45.483025,45.433225000000064
L2 Cache Accesses (Bytes),102300.64000000004,23536.069999999883,23444.130000000037
L2 Cache Hits (%),100.46825000000004,99.80247499999956,99.810675
L2 Cache Throughput (GB/s),26.65852500000002,38.80699999999993,38.71202500000005
#Divergent Branches,400.0,0.0,0.0
Warp Stalls - Barrier Not Issued,49.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,661630.0,47225.0,66763.0
Warp Stalls - Dispatch Stall Not Issued,117610.0,26055.0,19934.0
Warp Stalls - Drain Not Issued,71.0,297.0,277.0
Warp Stalls - IMC Miss Not Issued,4056.0,1509.0,2343.0
Warp Stalls - LG Throttle Not Issued,916213.0,3897612.0,3510368.0
Warp Stalls - Long Scoreboard Not Issued,8193336.0,3304352.0,3472185.0
Warp Stalls - Math Pipe Throttle Not Issued,18669.0,5413.0,871.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,0.0,190.0,400.0
Warp Stalls - Misc Not Issued,3040.0,596.0,268.0
Warp Stalls - No Instructions Not Issued,270518.0,53013.0,40216.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,23615.0,18164.0,43372.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,0.0,0.0,0.0
Warp Stalls - Wait Not Issued,3853528.0,950430.0,1177939.0
Occupancy,623.9999999999968,4359.729999999992,4368.489999999981
