,omp 10000 50 100,sycl 10000 50 100,cuda 10000 50 100
Runtime,770205485.0,1077449310.0,811671330.0
HtoD copy time,720785.0,1054405.0,1046885.0
DtoH copy time,1300585.0,1341380.0,1321160.0
#Threads,256.0,256.0,256.0
#Teams,40.0,40.0,40.0
Instructions Executed,14705297830.999989,13959735120.999966,11267942020.99998
IPC,0.30999999999999944,0.2100000000000005,0.2100000000000005
Shared Memory Stores,0.0,0.0,0.0
Shared Memory Loads,0.0,0.0,0.0
Shared Memory Store Bank Conflicts,0.0,0.0,0.0
Shared Memory Load Bank Conflicts,0.0,0.0,0.0
Global Memory Load Instructions,1649040000.0,1873680000.0,1873680000.0
Global Memory Store Instructions,1099360000.0,1249120000.0,1249120000.0
Global Memory Load (MB),76596.51,74709.16,74681.46999999996
Global Memory Store (MB),57848.56000000002,57433.07000000001,55635.51999999999
Global Memory Load Throughput (GB/s),82.52619999999999,60.9444,75.76979999999998
Global Memory Store Throughput (GB/s),62.327099999999994,46.85139999999999,56.44609999999999
Global Memory Load Bank Conflicts,3433316256.0,4416967933.0,4118147254.0
Global Memory Store Bank Conflicts,2292605562.0,2922543995.0,2891345756.0
L1 Cache Accesses (Bytes),1050.1699999999998,1291.2599999999961,1319.9999999999973
L1 Cache Hits (%),90.6471,86.54210000000003,92.18579999999993
L1 Cache Throughput (GB/s),1.1316999999999988,1.052599999999999,1.3400000000000025
L2 Cache Accesses (Bytes),57634.58000000006,57888.5,66307.93999999999
L2 Cache Hits (%),91.97149999999998,94.06480000000003,93.72529999999998
L2 Cache Throughput (GB/s),571.6133,572.4406000000001,657.2593
#Divergent Branches,1861400.0,2879100.0,0.0
Warp Stalls - Barrier Not Issued,2173003.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,94865.0,82163.0,15836.0
Warp Stalls - Dispatch Stall Not Issued,5084.0,2498.0,5337.0
Warp Stalls - Drain Not Issued,39.0,32.0,15.0
Warp Stalls - IMC Miss Not Issued,4235.0,6135.0,2610.0
Warp Stalls - LG Throttle Not Issued,4265197.0,2253048.0,11431608.0
Warp Stalls - Long Scoreboard Not Issued,24756072.0,40206063.0,5786108.0
Warp Stalls - Math Pipe Throttle Not Issued,13566.0,14940.0,4873.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,11.0,0.0,1379.0
Warp Stalls - Misc Not Issued,810.0,172.0,1431.0
Warp Stalls - No Instructions Not Issued,62600.0,59714.0,18629.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,798854.0,964336.0,48482.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,0.0,0.0,0.0
Warp Stalls - Wait Not Issued,2864244.0,3573560.0,865673.0
Occupancy,1250.0,1221.1800000000019,1229.9899999999977
