,omp 6,sycl 6,cuda 6
Runtime,10012989140.0,1411478800.0,1057280120.0
HtoD copy time,22598170.0,23351650.0,23419100.0
DtoH copy time,28556775.0,42270280.0,41600690.0
Instructions Executed,2452391205849.3794,274082214322.71985,218902959504.7199
IPC,2.945416666666667,2.973333333333336,3.0149999999999992
Shared Memory Stores,0.0,0.0,0.0
Shared Memory Loads,0.0,0.0,0.0
Shared Memory Store Bank Conflicts,0.0,0.0,0.0
Shared Memory Load Bank Conflicts,0.0,0.0,0.0
Global Memory Load Instructions,26626188144.0,14876053584.0,6756115440.0
Global Memory Store Instructions,480000000.0,30002016.0,30002016.0
Global Memory Load (MB),18914.02,8178.1800000000085,8250.370000000006
Global Memory Store (MB),14399.079999999996,4012.6199999999985,4049.3100000000004
Global Memory Load Throughput (GB/s),208.5341666666667,10.351874999999994,11.856875
Global Memory Store Throughput (GB/s),207.67687499999997,5.075625000000001,5.815416666666667
Global Memory Load Bank Conflicts,10285609.0,12151686.0,4493365.0
Global Memory Store Bank Conflicts,875916.0,240666.0,158458.0
L1 Cache Accesses (Bytes),6338.009999999994,18300.01,25010.130000000012
L1 Cache Hits (%),81.99208333333331,81.75750000000004,81.44500000000004
L1 Cache Throughput (GB/s),110.773125,116.99270833333334,262.216875
L2 Cache Accesses (Bytes),12472.369999999988,12286.389999999996,12394.85
L2 Cache Hits (%),75.07562500000002,33.460000000000015,33.46437500000001
L2 Cache Throughput (GB/s),14.548541666666667,15.551249999999994,17.813125000000007
#Divergent Branches,4058094012.0,4058094012.0,523084836.0
Warp Stalls - Barrier Not Issued,273169.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,723497.0,45917.0,31034.0
Warp Stalls - Dispatch Stall Not Issued,92569.0,47610.0,152516.0
Warp Stalls - Drain Not Issued,28.0,3664.0,3231.0
Warp Stalls - IMC Miss Not Issued,5564.0,345.0,1387.0
Warp Stalls - LG Throttle Not Issued,64633.0,10002.0,9776.0
Warp Stalls - Long Scoreboard Not Issued,1271945.0,111353.0,52631.0
Warp Stalls - Math Pipe Throttle Not Issued,5774661.0,962418.0,1280654.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,42644.0,3991.0,31602.0
Warp Stalls - Misc Not Issued,26788.0,5831.0,2192.0
Warp Stalls - No Instructions Not Issued,279841.0,30698.0,29520.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,230287.0,41139.0,24025.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,0.0,0.0,0.0
Warp Stalls - Wait Not Issued,25336417.0,1734778.0,781606.0
Occupancy,2221.83,3113.160000000001,2937.8199999999997
