,omp 625,sycl 625,cuda 625
Runtime,380909670.0,477517220.0,454695760.0
HtoD copy time,6947570.0,2337300.0,2242170.0
DtoH copy time,1719095.0,2650510.0,2623050.0
Instructions Executed,71002336225.36598,20418564244.82076,16588803304.338894
IPC,1.3930412546880908,0.6791711999999863,0.5286944000000031
Shared Memory Stores,4042604544.0,245760000.0,245760000.0
Shared Memory Loads,3480420352.0,901120000.0,901120000.0
Shared Memory Store Bank Conflicts,40681833.0,24701158.0,22295035.0
Shared Memory Load Bank Conflicts,141763376.0,77737524.0,161221628.0
Global Memory Load Instructions,1194328064.0,819200000.0,819200000.0
Global Memory Store Instructions,691994624.0,491520000.0,573440000.0
Global Memory Load (MB),2844359.019999944,2224057.8099998883,2206770.9599998854
Global Memory Store (MB),1658774.4900000445,1309578.5500000254,1314586.7999999714
Global Memory Load Throughput (GB/s),306.36874062286853,338.7925327999949,336.0490992000012
Global Memory Store Throughput (GB/s),178.79659013412132,199.8419184000002,200.58716959999978
Global Memory Load Bank Conflicts,2878226993.0,2039729762.0,2033551125.0
Global Memory Store Bank Conflicts,2734156453.0,1931661193.0,1896728171.0
L1 Cache Accesses (Bytes),7329063.190000507,5556892.150000008,5560451.250000065
L1 Cache Hits (%),3.6801625369402036,2.24524640000008,5.2101792000000415
L1 Cache Throughput (GB/s),785.4642850648053,842.1267440000053,842.4862016000036
L2 Cache Accesses (Bytes),6795960.349999835,4378766.52999981,4990771.1300000455
L2 Cache Hits (%),60.41751221729695,60.07455200000003,60.85552960000024
L2 Cache Throughput (GB/s),724.6122548016638,652.7718463999814,750.4500624000025
#Divergent Branches,86491136.0,61440000.0,61440000.0
Warp Stalls - Barrier Not Issued,1898876.0,834602.0,1019413.0
Warp Stalls - Branch Resolving Not Issued,127592.0,63505.0,54824.0
Warp Stalls - Dispatch Stall Not Issued,8171.0,1796.0,4206.0
Warp Stalls - Drain Not Issued,470836.0,1093803.0,928312.0
Warp Stalls - IMC Miss Not Issued,222638.0,170072.0,149300.0
Warp Stalls - LG Throttle Not Issued,2459226.0,2746323.0,3089135.0
Warp Stalls - Long Scoreboard Not Issued,7217697.0,6675524.0,6779025.0
Warp Stalls - Math Pipe Throttle Not Issued,82777.0,20331.0,14674.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,1062487.0,393518.0,615703.0
Warp Stalls - Misc Not Issued,5472.0,1132.0,3575.0
Warp Stalls - No Instructions Not Issued,288712.0,115237.0,123067.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,741118.0,697236.0,436070.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,64739.0,1722.0,1186.0
Warp Stalls - Wait Not Issued,518006.0,232700.0,268810.0
Occupancy,742259.9599999982,549276.6099999985,547054.4000000008
