,omp 1024 25088 50,sycl 1024 25088 50,cuda 1024 25088 50
Runtime,54944745.0,41796100.0,39792890.0
HtoD copy time,29631910.0,30188120.0,30117695.0
DtoH copy time,6785.0,6560.0,7070.0
#Threads,128.0,256.0,256.0
#Teams,1024.0,1024.0,1024.0
Instructions Executed,8846182676.319994,7210701063.230004,3149516914.739993
IPC,1.8421333333333345,1.754866666666668,0.7649333333333328
Shared Memory Stores,8601600.0,1228800.0,1228800.0
Shared Memory Loads,3993600.0,9830400.0,460800.0
Shared Memory Store Bank Conflicts,23695.0,27171.0,24635.0
Shared Memory Load Bank Conflicts,2.0,20.0,5.0
Global Memory Load Instructions,240844800.0,240844800.0,240844800.0
Global Memory Store Instructions,153600.0,153600.0,153600.0
Global Memory Load (MB),114388.6199999999,140555.64999999982,145918.76999999993
Global Memory Store (MB),811.2500000000019,995.4900000000023,1033.6400000000028
Global Memory Load Throughput (GB/s),557.0606666666667,731.5076000000004,767.2711999999998
Global Memory Store Throughput (GB/s),3.9484000000000012,5.180066666666667,5.433533333333337
Global Memory Load Bank Conflicts,6972.0,8000.0,6257.0
Global Memory Store Bank Conflicts,3160.0,4458.0,4883.0
L1 Cache Accesses (Bytes),114401.70000000024,140572.93000000008,145939.78000000017
L1 Cache Hits (%),0.0,0.0,0.0
L1 Cache Throughput (GB/s),557.1279999999998,731.6028666666663,767.3818666666667
L2 Cache Accesses (Bytes),114417.67000000017,140576.83999999982,145943.45999999967
L2 Cache Hits (%),0.04953333333333322,0.029999999999999954,0.029999999999999954
L2 Cache Throughput (GB/s),557.203933333333,731.6186000000006,767.3963999999996
#Divergent Branches,153600.0,0.0,153600.0
Warp Stalls - Barrier Not Issued,20288.0,23314.0,26688.0
Warp Stalls - Branch Resolving Not Issued,17042.0,4442.0,2555.0
Warp Stalls - Dispatch Stall Not Issued,397.0,495.0,845.0
Warp Stalls - Drain Not Issued,67.0,185.0,205.0
Warp Stalls - IMC Miss Not Issued,3434.0,1874.0,2974.0
Warp Stalls - LG Throttle Not Issued,0.0,6.0,4.0
Warp Stalls - Long Scoreboard Not Issued,893951.0,835525.0,1314108.0
Warp Stalls - Math Pipe Throttle Not Issued,32606.0,39931.0,19802.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,112.0,85.0,251.0
Warp Stalls - Misc Not Issued,84.0,153.0,370.0
Warp Stalls - No Instructions Not Issued,12814.0,16606.0,3389.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,13002.0,7649.0,15554.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,6.0,0.0,0.0
Warp Stalls - Wait Not Issued,145983.0,61548.0,39382.0
Occupancy,9231.440000000004,12573.840000000007,12688.56
