,omp 500000 500 50,sycl 500000 500 50,cuda 500000 500 50
Runtime,4860068445.0,66521310.0,65312275.0
HtoD copy time,10555.0,8925.0,9275.0
DtoH copy time,193066755.0,256840640.0,272126040.0
#Threads,64.0,64.0,64.0
#Teams,500.0,500.0,500.0
Instructions Executed,206057989628.50024,9379800073.509998,7816900061.389993
IPC,0.3900000000000003,1.4701999999999995,1.227799999999999
Shared Memory Stores,700000.0,50000.0,50000.0
Shared Memory Loads,925000.0,390925000.0,390775000.0
Shared Memory Store Bank Conflicts,0.0,0.0,0.0
Shared Memory Load Bank Conflicts,5764.0,24754630.0,24627977.0
Global Memory Load Instructions,250000.0,50000.0,50000.0
Global Memory Store Instructions,414609.0,390625000.0,390625000.0
Global Memory Load (MB),8558.500000000002,5984.770000000006,6037.230000000006
Global Memory Store (MB),515.6799999999998,87152.75,88014.01999999999
Global Memory Load Throughput (GB/s),154.3508,51.173599999999986,52.29159999999998
Global Memory Store Throughput (GB/s),9.303000000000003,745.2112000000001,762.3614
Global Memory Load Bank Conflicts,456132026.0,0.0,0.0
Global Memory Store Bank Conflicts,219517.0,0.0,0.0
L1 Cache Accesses (Bytes),26370.850000000013,37393.42999999999,38250.0
L1 Cache Hits (%),97.9861999999999,0.0,0.0
L1 Cache Throughput (GB/s),475.5938000000002,746.8685999999999,764.0
L2 Cache Accesses (Bytes),6145.699999999995,37393.68,38250.17
L2 Cache Hits (%),99.8862,100.02000000000007,100.02000000000007
L2 Cache Throughput (GB/s),110.83399999999997,746.8736,764.0033999999999
#Divergent Branches,100000.0,0.0,0.0
Warp Stalls - Barrier Not Issued,56086566.0,226.0,267.0
Warp Stalls - Branch Resolving Not Issued,1078245.0,32777.0,30545.0
Warp Stalls - Dispatch Stall Not Issued,35.0,32501.0,3933.0
Warp Stalls - Drain Not Issued,11.0,53.0,74.0
Warp Stalls - IMC Miss Not Issued,2754.0,2198.0,1685.0
Warp Stalls - LG Throttle Not Issued,443.0,2842.0,9760.0
Warp Stalls - Long Scoreboard Not Issued,3829285.0,39591.0,93567.0
Warp Stalls - Math Pipe Throttle Not Issued,16865.0,15774.0,8211.0
Warp Stalls - Membar Not Issued,260021.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,10.0,1719.0,25662.0
Warp Stalls - Misc Not Issued,338.0,1802.0,207.0
Warp Stalls - No Instructions Not Issued,47859.0,1524.0,26111.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,89681.0,795133.0,1226301.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,0.0,0.0,0.0
Warp Stalls - Wait Not Issued,55659430.0,818857.0,475215.0
Occupancy,974.1300000000003,961.9799999999999,961.93
