,omp 256 1000 omp offloading kernel,sycl 256 1000 sycl kernel,cuda 256 1000 cuda_kernel
Runtime,1375192035.0,989129800.0,1997690560.0
HtoD copy time,8593535.0,5123315.0,4575475.0
DtoH copy time,13105875.0,12364540.0,8403630.0
#Threads,128.0,128.0,128.0
#Teams,256.0,256.0,256.0
Instructions Executed,175434357199.771,130916249300.30199,118295058564.2904
IPC,1.1997700000000227,1.3002999999999754,0.5642899999999986
Shared Memory Stores,0.0,0.0,0.0
Shared Memory Loads,0.0,0.0,0.0
Shared Memory Store Bank Conflicts,0.0,0.0,0.0
Shared Memory Load Bank Conflicts,0.0,0.0,0.0
Global Memory Load Instructions,15679911000.0,6294896000.0,5770608000.0
Global Memory Store Instructions,1673396000.0,1673396000.0,1932759000.0
Global Memory Load (MB),29213.840000000015,33710.41999999993,557839.6299999958
Global Memory Store (MB),85606.16999999966,96768.35000000017,95797.90000000008
Global Memory Load Throughput (GB/s),11.655759999999955,16.189319999999974,556.6720299999998
Global Memory Store Throughput (GB/s),34.1553099999999,46.47259000000008,30.94859999999994
Global Memory Load Bank Conflicts,34929376066.0,32984175388.0,35714275299.0
Global Memory Store Bank Conflicts,129071535.0,147979431.0,190933587.0
L1 Cache Accesses (Bytes),4358.589999999821,4461.500000000048,4064.0100000000057
L1 Cache Hits (%),75.11649999999996,68.84151999999992,54.81802999999995
L1 Cache Throughput (GB/s),1.738590000000009,2.141500000000038,1.3140099999999815
L2 Cache Accesses (Bytes),1163110.9199999992,1437374.150000001,620308.8500000004
L2 Cache Hits (%),98.55336999999997,98.69390999999995,54.347769999999954
L2 Cache Throughput (GB/s),464.0591400000004,690.2939399999998,619.0100800000004
#Divergent Branches,109222000.0,109222000.0,100534000.0
Warp Stalls - Barrier Not Issued,8311240.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,861566.0,405814.0,332110.0
Warp Stalls - Dispatch Stall Not Issued,158290.0,32566.0,29326.0
Warp Stalls - Drain Not Issued,269.0,1207.0,523.0
Warp Stalls - IMC Miss Not Issued,31915.0,7291.0,11343.0
Warp Stalls - LG Throttle Not Issued,10899501.0,2309297.0,1820163.0
Warp Stalls - Long Scoreboard Not Issued,9821807.0,7380826.0,33500973.0
Warp Stalls - Math Pipe Throttle Not Issued,386009.0,188969.0,92433.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,537718.0,333088.0,217126.0
Warp Stalls - Misc Not Issued,30644.0,11360.0,6097.0
Warp Stalls - No Instructions Not Issued,180834.0,129148.0,93865.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,2240677.0,1042880.0,1040080.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,29.0,0.0,0.0
Warp Stalls - Wait Not Issued,8779444.0,3642218.0,3638304.0
Occupancy,20009.29999999994,19969.459999999828,19877.12999999991
