,omp 65536 16384 100 omp offloading kernel,sycl 65536 16384 100 sycl kernel,cuda 65536 16384 100 cuda_kernel
Runtime,740559835.0,614350650.0,587425975.0
HtoD copy time,566626260.0,580362605.0,588820010.0
DtoH copy time,24315.0,29435.0,27770.0
Instructions Executed,181422393140.16016,88640380312.59995,99703791036.68028
IPC,1.2315511551155125,0.8198019801980214,0.9241584158415822
Shared Memory Stores,9323880448.0,847249408.0,847249408.0
Shared Memory Loads,7996808749.0,3845164511.0,3726658415.0
Shared Memory Store Bank Conflicts,28430745.0,7657790.0,9111432.0
Shared Memory Load Bank Conflicts,22055966.0,18985699.0,19289280.0
Global Memory Load Instructions,3389204480.0,3389204480.0,3389204480.0
Global Memory Store Instructions,413696.0,206848.0,206848.0
Global Memory Load (MB),178065.48999999996,102101.17000000023,109925.06000000014
Global Memory Store (MB),148473.52000000002,54514.58,67001.08999999997
Global Memory Load Throughput (GB/s),496.0791089108912,371.1606435643565,410.036930693069
Global Memory Store Throughput (GB/s),209.35861386138626,268.4963366336633,300.67579207920807
Global Memory Load Bank Conflicts,12931652.0,14837722.0,12088396.0
Global Memory Store Bank Conflicts,10235.0,10171.0,27454.0
L1 Cache Accesses (Bytes),155439.75999999986,137261.54999999932,145572.51999999952
L1 Cache Hits (%),16.666666666666668,25.0,25.0
L1 Cache Throughput (GB/s),249.38250825082497,415.152623762376,456.29603960396076
L2 Cache Accesses (Bytes),172022.75999999949,103894.04999999973,112209.62999999977
L2 Cache Hits (%),75.57834983498343,42.521336633663466,41.81554455445541
L2 Cache Throughput (GB/s),330.14491749174914,508.8754950495051,552.6533168316834
#Divergent Branches,3848508.0,3392954.0,3476103.0
Warp Stalls - Barrier Not Issued,2819383.0,1096542.0,896758.0
Warp Stalls - Branch Resolving Not Issued,466845.0,98520.0,96171.0
Warp Stalls - Dispatch Stall Not Issued,32330.0,15184.0,22138.0
Warp Stalls - Drain Not Issued,14930.0,18360.0,17771.0
Warp Stalls - IMC Miss Not Issued,14482.0,5914.0,7562.0
Warp Stalls - LG Throttle Not Issued,20.0,0.0,1214.0
Warp Stalls - Long Scoreboard Not Issued,7723100.0,7502113.0,5245080.0
Warp Stalls - Math Pipe Throttle Not Issued,154843.0,36826.0,60040.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,143161.0,3117.0,15142.0
Warp Stalls - Misc Not Issued,15584.0,5382.0,4078.0
Warp Stalls - No Instructions Not Issued,146093.0,38560.0,27343.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,1261185.0,484923.0,496082.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,10138.0,42.0,87.0
Warp Stalls - Wait Not Issued,1479261.0,551142.0,449990.0
Occupancy,16017.35999999997,13165.61000000002,13059.820000000012
