,streamcluster 5 10 128 32768 32768 500 none output.txt 1 omp offloading kernel,sycl 5 10 128 32768 32768 500 none output.txt 1 sycl kernel,streamcluster 5 10 128 32768 32768 500 none output.txt 1 cuda_kernel
Runtime,1476548575.0,24337825.0,22213795.0
HtoD copy time,60886795.0,56507080.0,56910455.0
DtoH copy time,32687975.0,32518220.0,32509655.0
Instructions Executed,21523750492.309937,884308392.4199859,627898084.1000004
IPC,0.42527053140097276,0.31075362318840727,0.249420289855073
Shared Memory Stores,14918400.0,11304960.0,2826240.0
Shared Memory Loads,61175040.0,90439680.0,22609920.0
Shared Memory Store Bank Conflicts,40033.0,0.0,0.0
Shared Memory Load Bank Conflicts,1568532.0,2194.0,390.0
Global Memory Load Instructions,1766400.0,105277440.0,105277440.0
Global Memory Store Instructions,1977357.0,1977652.0,1977652.0
Global Memory Load (MB),136808.0199999998,360976.8799999964,395209.6199999961
Global Memory Store (MB),397320.0999999978,29114.310000000147,31873.650000000172
Global Memory Load Throughput (GB/s),50.50040096618355,505.12414492753584,554.7366521739136
Global Memory Store Throughput (GB/s),162.4854154589372,40.742594202898566,44.741565217391276
Global Memory Load Bank Conflicts,60281995.0,3443954.0,3404997.0
Global Memory Store Bank Conflicts,8203392.0,1473088.0,1480646.0
L1 Cache Accesses (Bytes),1143506.190000005,412794.1099999987,451933.58999999845
L1 Cache Hits (%),59.717260869565216,10.645579710144922,10.643768115942011
L1 Cache Throughput (GB/s),425.65820772946836,577.6326231884057,634.3564927536224
L2 Cache Accesses (Bytes),700133.529999996,378885.8599999995,414827.14999999985
L2 Cache Hits (%),82.07185024154586,5.0928115942028995,5.086405797101449
L2 Cache Throughput (GB/s),270.0316231884057,530.1839710144932,582.2723478260875
#Divergent Branches,2606265.0,723866.0,723866.0
Warp Stalls - Barrier Not Issued,27477540.0,203799.0,135993.0
Warp Stalls - Branch Resolving Not Issued,353010.0,1616.0,1875.0
Warp Stalls - Dispatch Stall Not Issued,525.0,1206.0,2152.0
Warp Stalls - Drain Not Issued,796.0,2056.0,2572.0
Warp Stalls - IMC Miss Not Issued,21674.0,21940.0,21521.0
Warp Stalls - LG Throttle Not Issued,395652.0,275.0,1647.0
Warp Stalls - Long Scoreboard Not Issued,5534385.0,678114.0,762677.0
Warp Stalls - Math Pipe Throttle Not Issued,18179.0,2744.0,4933.0
Warp Stalls - Membar Not Issued,284757.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,4184.0,1326.0,65.0
Warp Stalls - Misc Not Issued,1543.0,616.0,654.0
Warp Stalls - No Instructions Not Issued,1188706.0,23111.0,31122.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,139896.0,6001.0,6200.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,77.0,0.0,0.0
Warp Stalls - Wait Not Issued,8441334.0,40216.0,40338.0
Occupancy,57671.82999999983,13732.109999999993,13775.400000000001
#Threads,,256.0,256.0
#Teams,,128.0,128.0
