,omp -i 1000 -l 32 -t 128 -v 3 -w 1,sycl -i 1000 -l 32 -t 128 -v 3 -w 1,cuda -i 1000 -l 32 -t 128 -v 3 -w 1
Runtime,2833984785.0,3012988250.0,2217871715.0
HtoD copy time,89775100.0,148688180.0,45970265.0
DtoH copy time,122014565.0,309652460.0,64915235.0
#Threads,128.0,128.0,128.0
#Teams,1048576.0,1048576.0,1048576.0
Instructions Executed,281824199685.5491,125823746506.20152,127660589704.708
IPC,1.0285214785214594,0.4577422577422503,0.648061938061926
Shared Memory Stores,0.0,0.0,0.0
Shared Memory Loads,0.0,0.0,0.0
Shared Memory Store Bank Conflicts,0.0,0.0,0.0
Shared Memory Load Bank Conflicts,0.0,0.0,0.0
Global Memory Load Instructions,10627448832.0,10627448832.0,14169931776.0
Global Memory Store Instructions,1180827648.0,1180827648.0,2361655296.0
Global Memory Load (MB),834652.5999999995,897476.9699999988,480392.84999999637
Global Memory Store (MB),805236.9799999987,796349.9999999903,585289.2400000017
Global Memory Load Throughput (GB/s),209.02485514485497,217.18686313686354,143.68740259740252
Global Memory Store Throughput (GB/s),201.65819180819193,192.71430569430555,175.06233766233757
Global Memory Load Bank Conflicts,19889692833.0,20497196180.0,13837541862.0
Global Memory Store Bank Conflicts,629015325.0,778107665.0,3632642463.0
L1 Cache Accesses (Bytes),4914.88999999993,4863.749999999979,5585.589999999977
L1 Cache Hits (%),65.79747252747298,66.57924075924102,85.50999999999928
L1 Cache Throughput (GB/s),1.2299800199800335,1.1788911088910992,1.6700099900100072
L2 Cache Accesses (Bytes),438000.2299999925,408897.55000000354,440930.69000001025
L2 Cache Hits (%),68.74398601398596,65.71229770229778,72.28726273726272
L2 Cache Throughput (GB/s),436.2626273726274,407.21906093906074,439.4601998001994
#Divergent Branches,0.0,0.0,0.0
Warp Stalls - Barrier Not Issued,8851145.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,2624687.0,1473396.0,1370708.0
Warp Stalls - Dispatch Stall Not Issued,114522.0,429628.0,458225.0
Warp Stalls - Drain Not Issued,6322851.0,13140552.0,13514169.0
Warp Stalls - IMC Miss Not Issued,62666.0,19412.0,42289.0
Warp Stalls - LG Throttle Not Issued,6817218.0,6847316.0,15322666.0
Warp Stalls - Long Scoreboard Not Issued,49651842.0,64188209.0,18108823.0
Warp Stalls - Math Pipe Throttle Not Issued,570868.0,292482.0,274613.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,62029.0,218433.0,63830.0
Warp Stalls - Misc Not Issued,64685.0,101671.0,128961.0
Warp Stalls - No Instructions Not Issued,513799.0,673424.0,672473.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,1327044.0,1994088.0,2278549.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,84799.0,0.0,0.0
Warp Stalls - Wait Not Issued,8539760.0,3974225.0,4094519.0
Occupancy,71194.88,74151.49999999999,63394.04999999995
