,omp --nsteps 100 omp offloading kernel,sycl --nsteps 100 sycl kernel,cuda --nsteps 100 cuda_kernel
Runtime,8177396710.0,3700268220.0,3614327455.0
HtoD copy time,340920415.0,338162325.0,532283360.0
DtoH copy time,12146610.0,12190135.0,9814660.0
Instructions Executed,295178965869.4608,315748644758.8584,285517215331.0012
IPC,0.2420857142857135,0.36980000000000285,0.32999999999999774
Shared Memory Stores,39199100.0,0.0,0.0
Shared Memory Loads,0.0,0.0,0.0
Shared Memory Store Bank Conflicts,212462.0,0.0,0.0
Shared Memory Load Bank Conflicts,0.0,0.0,0.0
Global Memory Load Instructions,44443008400.0,47858769500.0,48175357000.0
Global Memory Store Instructions,2769137000.0,2769137000.0,2774387400.0
Global Memory Load (MB),275568.9699999997,306641.5099999996,292582.5600000004
Global Memory Store (MB),386806.369999999,318368.8899999995,323305.11999999895
Global Memory Load Throughput (GB/s),302.7267142857144,240.7941285714284,245.33228571428546
Global Memory Store Throughput (GB/s),419.9126714285715,319.78828571428534,325.4473714285718
Global Memory Load Bank Conflicts,70340357700.0,71375718126.0,70542785205.0
Global Memory Store Bank Conflicts,5283779223.0,5391602740.0,5380949579.0
L1 Cache Accesses (Bytes),225506.2400000014,213995.14999999947,213917.53000000076
L1 Cache Hits (%),54.47518571428582,61.87277142857132,61.56987142857136
L1 Cache Throughput (GB/s),276.19320000000005,263.8644999999997,263.9579000000006
L2 Cache Accesses (Bytes),244095.929999998,115371.41000000013,112726.41000000043
L2 Cache Hits (%),79.41834285714285,83.16072857142858,83.09197142857133
L2 Cache Throughput (GB/s),310.0191428571423,135.02348571428575,131.24734285714257
#Divergent Branches,7205200.0,891337500.0,746525000.0
Warp Stalls - Barrier Not Issued,1584787.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,554773.0,274062.0,239119.0
Warp Stalls - Dispatch Stall Not Issued,125161.0,202050.0,182491.0
Warp Stalls - Drain Not Issued,4778.0,159838.0,167776.0
Warp Stalls - IMC Miss Not Issued,33869.0,22597.0,26904.0
Warp Stalls - LG Throttle Not Issued,1679754.0,12014522.0,15259799.0
Warp Stalls - Long Scoreboard Not Issued,182851520.0,65878873.0,54794794.0
Warp Stalls - Math Pipe Throttle Not Issued,261140.0,370788.0,523638.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,28789.0,8603.0,11649.0
Warp Stalls - Misc Not Issued,13241.0,76122.0,109103.0
Warp Stalls - No Instructions Not Issued,203743.0,107214.0,92392.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,58399.0,32050.0,39051.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,24396.0,0.0,0.0
Warp Stalls - Wait Not Issued,8993549.0,5192100.0,5094220.0
Occupancy,22978.54999999996,28740.08999999995,28984.74
