,omp --lmem -num_systems=524288,sycl --lmem -num_systems=524288,cuda --lmem -num_systems=524288
Runtime,8696787550.0,8153186555.0,13427000220.0
HtoD copy time,1001660875.0,1008884670.0,899964495.0
DtoH copy time,292656580.0,301384660.0,301817255.0
Instructions Executed,764258191673.375,427330766230.7313,550791546620.3193
IPC,1.8950225022502245,1.30066363636363,1.6096489648964962
Shared Memory Stores,40595161088.0,20027801600.0,20863516672.0
Shared Memory Loads,74415636480.0,52638515200.0,55071211520.0
Shared Memory Store Bank Conflicts,8790557977.0,8742658466.0,8605829538.0
Shared Memory Load Bank Conflicts,29299712358.0,29375071222.0,29023854831.0
Global Memory Load Instructions,5709004800.0,6491340800.0,6556254208.0
Global Memory Store Instructions,2750251008.0,2723020800.0,2750251008.0
Global Memory Load (MB),420275.5100000029,518355.56000000495,517087.1700000062
Global Memory Store (MB),500433.8799999997,550098.3900000016,553750.8100000028
Global Memory Load Throughput (GB/s),253.80516651665187,346.5855909090908,340.85766876687666
Global Memory Store Throughput (GB/s),158.87436543654363,208.29213636363653,206.7357605760576
Global Memory Load Bank Conflicts,20997155936.0,21666444960.0,21971314454.0
Global Memory Store Bank Conflicts,10085852753.0,9986423883.0,10259157144.0
L1 Cache Accesses (Bytes),714466.2900000016,862100.5899999997,862827.6800000004
L1 Cache Hits (%),2.998748874887466,1.811618181818182,2.738793879387903
L1 Cache Throughput (GB/s),396.93760576057616,537.5868727272731,530.477119711971
L2 Cache Accesses (Bytes),717917.6300000028,868166.4100000036,867431.1399999997
L2 Cache Hits (%),35.73462646264661,35.66755454545494,35.61616561656186
L2 Cache Throughput (GB/s),399.85321332133293,542.7758545454542,534.3958325832576
#Divergent Branches,2647654400.0,1782579200.0,3283091456.0
Warp Stalls - Barrier Not Issued,16472652.0,7896000.0,3481385.0
Warp Stalls - Branch Resolving Not Issued,5285244.0,437896.0,491522.0
Warp Stalls - Dispatch Stall Not Issued,79526.0,65110.0,26458.0
Warp Stalls - Drain Not Issued,44575.0,845967.0,415669.0
Warp Stalls - IMC Miss Not Issued,32542.0,28879.0,27560.0
Warp Stalls - LG Throttle Not Issued,94979059.0,127194182.0,102958447.0
Warp Stalls - Long Scoreboard Not Issued,53288397.0,39229950.0,39526122.0
Warp Stalls - Math Pipe Throttle Not Issued,397697.0,122465.0,98105.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,1803884.0,14241315.0,1949384.0
Warp Stalls - Misc Not Issued,57238.0,64687.0,21884.0
Warp Stalls - No Instructions Not Issued,1562103.0,154143.0,347953.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,8041202.0,2873794.0,1600899.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,87793.0,21951.0,5703.0
Warp Stalls - Wait Not Issued,12531720.0,2262018.0,1223470.0
Occupancy,70237.62999999984,104014.95000000013,90321.9399999999
