,omp,sycl,hip
Runtime,1067381981.0,1061031489.0,1056564937.0
SALU Instructions per wave,4496.0,6289.5,6282.5
VALU Instructions per wave,0.0,0.0,0.0
IPC,0.88,0.9,0.96
L1 Requests per wave,88.0,8.0,8.0
L1 Hit Rate,95.21,0.0,0.0
L2 Requests per wave,1.19,1.3,1.19
L2 Hit Rate,78.6,76.1,80.79
Wavefront Occupancy (% of peak),1227.69,1227.6,1228.03
Dependency Wait Cycles per wave,410752.07,399144.81,398718.44
Issue Wait Cycles per wave,284063.2,282629.99,280664.02
Grid Size,131072.0,131072.0,131072.0
#Threads,128.0,128.0,128.0
Shared Memory Allocated,1024.0,1024.0,1024.0
Shared Memory Instructions per wave,4099.0,4096.5,4096.5
Shared Memory Bank Conflicts (%),0.0,0.0,0.0
Register Spill Instructions per wave,0.0,0.0,0.0
Global Memory Instructions per wave,2.5,0.5,0.5
Global Memory Read Instructions per wave,2.0,0.0,0.0
Global Memory Write Instructions per wave,0.5,0.5,0.5
Coalesced Instructions (% of peak),45.45,100.0,100.0
Global Atomic Operations per wave,0.0,0.0,0.0
SALU Instructions,9207808.0,12880896.0,12866560.0
VALU Instructions,0.0,0.0,0.0
L1 Requests,180224.0,16384.0,16384.0
L2 Requests,2437.12,2662.4,2437.12
Dependency Wait Cycles,841220239.36,817448570.88,816575365.12
Issue Wait Cycles,581761433.6,578826219.52,574799912.96
Shared Memory Instructions,8394752.0,8389632.0,8389632.0
Register Spill Instructions,0.0,0.0,0.0
Global Memory Instructions,5120.0,1024.0,1024.0
Global Memory Read Instructions,4096.0,0.0,0.0
Global Memory Write Instructions,1024.0,1024.0,1024.0
Global Atomic Operations,0.0,0.0,0.0
