,omp 8192 8192 1000,sycl 8192 8192 1000,hip 8192 8192 1000
Runtime,1734817895.0,1488708068.0,1196943723.0
SALU Instructions per wave,32.75,8.5,20.99
VALU Instructions per wave,0.0,0.0,0.0
IPC,0.37,0.39,0.38
L1 Requests per wave,2463.62,2191.62,287.62
L1 Hit Rate,88.33,86.87,0.05
L2 Requests per wave,72.01,72.1,71.98
L2 Hit Rate,10.76,10.75,9.99
Wavefront Occupancy (% of peak),2426.79,2542.32,2423.66
Dependency Wait Cycles per wave,20713.62,17999.9,10637.24
Issue Wait Cycles per wave,2328.25,3712.64,7581.04
Grid Size,8388608.0,8388608.0,8388608.0
#Threads,96.0,96.0,96.0
Shared Memory Allocated,4352.0,4096.0,4096.0
Shared Memory Instructions per wave,122.98,57.0,57.0
Shared Memory Bank Conflicts (%),1.26,3.12,3.12
Register Spill Instructions per wave,0.0,0.0,0.0
Global Memory Instructions per wave,57.98,52.98,17.98
Global Memory Read Instructions per wave,49.98,44.98,9.98
Global Memory Write Instructions per wave,8.0,8.0,8.0
Coalesced Instructions (% of peak),37.65,38.68,100.0
Global Atomic Operations per wave,0.0,0.0,0.0
SALU Instructions,4292608.0,1114112.0,2751201.28
VALU Instructions,0.0,0.0,0.0
L1 Requests,322911600.64,287260016.64,37698928.64
L2 Requests,9438494.72,9450291.2,9434562.56
Dependency Wait Cycles,2714975600.64,2359282892.8,1394244321.28
Issue Wait Cycles,305168384.0,486623150.08,993662074.88
Shared Memory Instructions,16119234.56,7471104.0,7471104.0
Register Spill Instructions,0.0,0.0,0.0
Global Memory Instructions,7599554.56,6944194.56,2356674.56
Global Memory Read Instructions,6550978.56,5895618.56,1308098.56
Global Memory Write Instructions,1048576.0,1048576.0,1048576.0
Global Atomic Operations,0.0,0.0,0.0
