,omp 50000000 1000,sycl 50000000 1000,hip 50000000 1000
Runtime,475257050.0,412186608.0,438687826.0
SALU Instructions per wave,24.25,49.0,64.25
VALU Instructions per wave,0.0,0.0,0.0
IPC,0.86,1.34,1.51
L1 Requests per wave,40.0,36.0,36.0
L1 Hit Rate,0.0,0.0,0.0
L2 Requests per wave,4.76,4.69,4.69
L2 Hit Rate,14.43,13.07,13.07
Wavefront Occupancy (% of peak),3534.65,3543.75,3776.9
Dependency Wait Cycles per wave,3010.92,2344.58,2467.97
Issue Wait Cycles per wave,101.02,262.31,376.07
Grid Size,50000128.0,50000128.0,50000128.0
#Threads,256.0,256.0,256.0
Shared Memory Allocated,1536.0,1024.0,1024.0
Shared Memory Instructions per wave,9.0,8.0,8.0
Shared Memory Bank Conflicts (%),0.0,0.0,0.0
Register Spill Instructions per wave,0.0,0.0,0.0
Global Memory Instructions per wave,1.75,1.5,1.5
Global Memory Read Instructions per wave,1.25,1.0,1.0
Global Memory Write Instructions per wave,0.5,0.5,0.5
Coalesced Instructions (% of peak),70.0,66.67,66.67
Global Atomic Operations per wave,0.0,0.0,0.0
SALU Instructions,18945361.0,38281348.0,50195441.0
VALU Instructions,0.0,0.0,0.0
L1 Requests,31250080.0,28125072.0,28125072.0
L2 Requests,3718759.52,3664071.8800000004,3664071.8800000004
Dependency Wait Cycles,2352287271.84,1831707814.1599998,1928106498.4399998
Issue Wait Cycles,78922077.03999999,204930212.12,293805439.64
Shared Memory Instructions,7031268.0,6250016.0,6250016.0
Register Spill Instructions,0.0,0.0,0.0
Global Memory Instructions,1367191.0,1171878.0,1171878.0
Global Memory Read Instructions,976565.0,781252.0,781252.0
Global Memory Write Instructions,390626.0,390626.0,390626.0
Global Atomic Operations,0.0,0.0,0.0
