,omp 8192 8192 100,sycl 8192 8192 100,hip 8192 8192 100
Runtime,110263794.0,113580239.0,113359737.0
SALU Instructions per wave,28.0,22.0,22.5
VALU Instructions per wave,0.0,0.0,0.0
IPC,0.3,0.25,0.25
L1 Requests per wave,256.0,256.0,256.0
L1 Hit Rate,0.0,0.0,0.0
L2 Requests per wave,64.16,64.13,64.14
L2 Hit Rate,0.0,0.0,0.0
Wavefront Occupancy (% of peak),2710.16,2705.67,2611.17
Dependency Wait Cycles per wave,17305.52,6195.75,6176.22
Issue Wait Cycles per wave,1962.08,12757.39,12793.6
Grid Size,8388608.0,8388608.0,8388608.0
#Threads,64.0,64.0,64.0
Shared Memory Allocated,2560.0,2560.0,2560.0
Shared Memory Instructions per wave,40.0,16.0,16.0
Shared Memory Bank Conflicts (%),0.0,0.0,0.0
Register Spill Instructions per wave,0.0,0.0,0.0
Global Memory Instructions per wave,16.0,16.0,16.0
Global Memory Read Instructions per wave,8.0,8.0,8.0
Global Memory Write Instructions per wave,8.0,8.0,8.0
Coalesced Instructions (% of peak),100.0,100.0,100.0
Global Atomic Operations per wave,0.0,0.0,0.0
SALU Instructions,3670016.0,2883584.0,2949120.0
VALU Instructions,0.0,0.0,0.0
L1 Requests,33554432.0,33554432.0,33554432.0
L2 Requests,8409579.52,8405647.36,8406958.08
Dependency Wait Cycles,2268269117.44,812089344.0,809529507.84
Issue Wait Cycles,257173749.76,1672136622.08,1676882739.2
Shared Memory Instructions,5242880.0,2097152.0,2097152.0
Register Spill Instructions,0.0,0.0,0.0
Global Memory Instructions,2097152.0,2097152.0,2097152.0
Global Memory Read Instructions,1048576.0,1048576.0,1048576.0
Global Memory Write Instructions,1048576.0,1048576.0,1048576.0
Global Atomic Operations,0.0,0.0,0.0
