,omp 2048 10000,sycl 2048 10000,hip 2048 10000
Runtime,18979379930.0,12185905241.0,12128897393.0
SALU Instructions per wave,27781.46,27747.96,28277.41
VALU Instructions per wave,0.0,0.0,0.0
IPC,0.4,0.54,0.54
L1 Requests per wave,139685.66,173.98,173.55
L1 Hit Rate,99.71,40.06,50.63
L2 Requests per wave,102.85,119.1,123.45
L2 Hit Rate,74.77,72.99,77.33
Wavefront Occupancy (% of peak),29.48,29.45,29.43
Dependency Wait Cycles per wave,727675.19,393440.7,382497.55
Issue Wait Cycles per wave,36277.09,24.07,21.07
Grid Size,2048.0,2048.0,2048.0
#Threads,256.0,256.0,256.0
Shared Memory Allocated,0.0,0.0,0.0
Shared Memory Instructions per wave,8721.13,0.0,0.0
Shared Memory Bank Conflicts (%),0.0,0.0,0.0
Register Spill Instructions per wave,0.0,0.0,0.0
Global Memory Instructions per wave,8721.13,3.09,3.59
Global Memory Read Instructions per wave,8718.54,1.0,1.0
Global Memory Write Instructions per wave,2.59,2.09,2.59
Coalesced Instructions (% of peak),99.89,32.5,35.53
Global Atomic Operations per wave,0.0,0.0,0.0
SALU Instructions,889006.72,887934.72,904877.12
VALU Instructions,0.0,0.0,0.0
L1 Requests,4469941.12,5567.36,5553.6
L2 Requests,3291.2,3811.2,3950.4
Dependency Wait Cycles,23285606.08,12590102.4,12239921.6
Issue Wait Cycles,1160866.88,770.24,674.24
Shared Memory Instructions,279076.16,0.0,0.0
Register Spill Instructions,0.0,0.0,0.0
Global Memory Instructions,279076.16,98.88,114.88
Global Memory Read Instructions,278993.28,32.0,32.0
Global Memory Write Instructions,82.88,66.88,82.88
Global Atomic Operations,0.0,0.0,0.0
