,omp 268435456 10,sycl 268435456 10,hip 268435456 10
Runtime,252214047.0,212850749.0,235221069.0
SALU Instructions per wave,48.0,2.0,3.0
VALU Instructions per wave,0.0,0.0,0.0
IPC,1.04,0.26,0.28
L1 Requests per wave,32.0,32.0,32.0
L1 Hit Rate,37.5,40.83,40.83
L2 Requests per wave,5.01,4.75,4.75
L2 Hit Rate,0.0,0.0,0.0
Wavefront Occupancy (% of peak),2743.94,2362.7,2389.09
Dependency Wait Cycles per wave,1916.0,1716.16,1715.2
Issue Wait Cycles per wave,111.61,28.05,27.86
Grid Size,268435456.0,268435456.0,268435456.0
#Threads,256.0,256.0,256.0
Shared Memory Allocated,512.0,0.0,0.0
Shared Memory Instructions per wave,3.75,0.0,0.0
Shared Memory Bank Conflicts (%),0.0,0.0,0.0
Register Spill Instructions per wave,0.0,0.0,0.0
Global Memory Instructions per wave,2.0,2.0,2.0
Global Memory Read Instructions per wave,1.0,1.0,1.0
Global Memory Write Instructions per wave,1.0,1.0,1.0
Coalesced Instructions (% of peak),100.0,100.0,100.0
Global Atomic Operations per wave,0.0,0.0,0.0
SALU Instructions,201326592.0,8388608.0,12582912.0
VALU Instructions,0.0,0.0,0.0
L1 Requests,134217728.0,134217728.0,134217728.0
L2 Requests,21013463.04,19922944.0,19922944.0
Dependency Wait Cycles,8036286464.0,7198096752.64,7194070220.8
Issue Wait Cycles,468126269.44,117650227.2,116853309.44
Shared Memory Instructions,15728640.0,0.0,0.0
Register Spill Instructions,0.0,0.0,0.0
Global Memory Instructions,8388608.0,8388608.0,8388608.0
Global Memory Read Instructions,4194304.0,4194304.0,4194304.0
Global Memory Write Instructions,4194304.0,4194304.0,4194304.0
Global Atomic Operations,0.0,0.0,0.0
