,omp 480 640 100,sycl 480 640 100,hip 480 640 100
Runtime,3662568.0,4516321.0,4071685.0
SALU Instructions per wave,69.5,7.0,24.0
VALU Instructions per wave,0.0,0.0,0.0
IPC,0.34,0.52,0.55
L1 Requests per wave,1322.62,528.0,528.0
L1 Hit Rate,79.76,65.04,70.23
L2 Requests per wave,124.08,84.24,70.22
L2 Hit Rate,82.38,90.48,94.67
Wavefront Occupancy (% of peak),930.24,2038.68,1567.76
Dependency Wait Cycles per wave,38179.77,14116.17,12740.61
Issue Wait Cycles per wave,3419.18,4786.5,6274.61
Grid Size,122880.0,307200.0,307200.0
#Threads,256.0,256.0,256.0
Shared Memory Allocated,0.0,0.0,0.0
Shared Memory Instructions per wave,82.5,0.0,0.0
Shared Memory Bank Conflicts (%),0.0,0.0,0.0
Register Spill Instructions per wave,0.0,0.0,0.0
Global Memory Instructions per wave,82.5,33.0,33.0
Global Memory Read Instructions per wave,80.0,32.0,32.0
Global Memory Write Instructions per wave,2.5,1.0,1.0
Coalesced Instructions (% of peak),99.8,100.0,100.0
Global Atomic Operations per wave,0.0,0.0,0.0
SALU Instructions,133440.0,33600.0,115200.0
VALU Instructions,0.0,0.0,0.0
L1 Requests,2539430.4,2534400.0,2534400.0
L2 Requests,238233.6,404352.0,337056.0
Dependency Wait Cycles,73305158.39999999,67757616.0,61154928.0
Issue Wait Cycles,6564825.6,22975200.0,30118128.0
Shared Memory Instructions,158400.0,0.0,0.0
Register Spill Instructions,0.0,0.0,0.0
Global Memory Instructions,158400.0,158400.0,158400.0
Global Memory Read Instructions,153600.0,153600.0,153600.0
Global Memory Write Instructions,4800.0,4800.0,4800.0
Global Atomic Operations,0.0,0.0,0.0
