,omp 8640 15360 1000,sycl 8640 15360 1000,hip 8640 15360 1000
Runtime,4082733359.0,3312905537.0,3324989236.0
SALU Instructions per wave,37897.0,69.0,69.0
VALU Instructions per wave,0.0,0.0,0.0
IPC,0.67,0.89,0.89
L1 Requests per wave,69120.0,64.0,64.0
L1 Hit Rate,50.0,50.0,50.0
L2 Requests per wave,8655.39,8.01,8.01
L2 Hit Rate,0.0,0.0,0.0
Wavefront Occupancy (% of peak),1310.36,3338.81,3040.98
Dependency Wait Cycles per wave,609902.88,538.15,562.57
Issue Wait Cycles per wave,1814965.0,5030.41,4348.47
Grid Size,122880.0,132710400.0,132710400.0
#Threads,256.0,256.0,256.0
Shared Memory Allocated,0.0,0.0,0.0
Shared Memory Instructions per wave,1080.0,0.0,0.0
Shared Memory Bank Conflicts (%),0.0,0.0,0.0
Register Spill Instructions per wave,0.0,0.0,0.0
Global Memory Instructions per wave,1080.0,1.0,1.0
Global Memory Read Instructions per wave,0.0,0.0,0.0
Global Memory Write Instructions per wave,1080.0,1.0,1.0
Coalesced Instructions (% of peak),25.0,25.0,25.0
Global Atomic Operations per wave,0.0,0.0,0.0
SALU Instructions,72762240.0,143078400.0,143078400.0
VALU Instructions,0.0,0.0,0.0
L1 Requests,132710400.0,132710400.0,132710400.0
L2 Requests,16618348.799999999,16609536.0,16609536.0
Dependency Wait Cycles,1171013529.6,1115907840.0,1166545152.0
Issue Wait Cycles,3484732800.0,10431058176.0,9016987392.0
Shared Memory Instructions,2073600.0,0.0,0.0
Register Spill Instructions,0.0,0.0,0.0
Global Memory Instructions,2073600.0,2073600.0,2073600.0
Global Memory Read Instructions,0.0,0.0,0.0
Global Memory Write Instructions,2073600.0,2073600.0,2073600.0
Global Atomic Operations,0.0,0.0,0.0
