,omp 7680 4320 256 100,sycl 7680 4320 256 100,hip 7680 4320 256 100
Runtime,44321342.0,31495683.0,30784639.0
SALU Instructions per wave,2455.0,2.0,3.0
VALU Instructions per wave,0.0,0.0,0.0
IPC,0.37,0.4,0.4
L1 Requests per wave,120960.0,144.0,144.0
L1 Hit Rate,82.14,77.78,77.78
L2 Requests per wave,5400.22,8.02,8.02
L2 Hit Rate,80.0,49.91,49.91
Wavefront Occupancy (% of peak),1751.17,3313.59,3266.74
Dependency Wait Cycles per wave,516587.28,2445.43,2445.99
Issue Wait Cycles per wave,30351.0,385.81,306.19
Grid Size,122880.0,33177600.0,33177600.0
#Threads,256.0,256.0,256.0
Shared Memory Allocated,0.0,0.0,0.0
Shared Memory Instructions per wave,1890.0,0.0,0.0
Shared Memory Bank Conflicts (%),0.0,0.0,0.0
Register Spill Instructions per wave,0.0,0.0,0.0
Global Memory Instructions per wave,1890.0,3.0,3.0
Global Memory Read Instructions per wave,810.0,2.0,2.0
Global Memory Write Instructions per wave,1080.0,1.0,1.0
Coalesced Instructions (% of peak),25.0,33.33,33.33
Global Atomic Operations per wave,0.0,0.0,0.0
SALU Instructions,4713600.0,1036800.0,1555200.0
VALU Instructions,0.0,0.0,0.0
L1 Requests,232243200.0,74649600.0,74649600.0
L2 Requests,10368422.4,4157568.0,4157568.0
Dependency Wait Cycles,991847577.6,1267710912.0,1268001216.0
Issue Wait Cycles,58273920.0,200003904.0,158728896.0
Shared Memory Instructions,3628800.0,0.0,0.0
Register Spill Instructions,0.0,0.0,0.0
Global Memory Instructions,3628800.0,1555200.0,1555200.0
Global Memory Read Instructions,1555200.0,1036800.0,1036800.0
Global Memory Write Instructions,2073600.0,518400.0,518400.0
Global Atomic Operations,0.0,0.0,0.0
