,omp 1 512 50,sycl 1 512 50,hip 1 512 50
Runtime,346395.0,219199.0,168320.0
SALU Instructions per wave,54.0,14.0,16.0
VALU Instructions per wave,0.0,0.0,0.0
IPC,0.1,0.09,0.11
L1 Requests per wave,48.0,48.0,48.0
L1 Hit Rate,0.0,0.0,0.0
L2 Requests per wave,16.25,15.14,15.63
L2 Hit Rate,0.0,0.0,3.48
Wavefront Occupancy (% of peak),2.3,2.46,2.1
Dependency Wait Cycles per wave,9775.92,6025.06,5874.02
Issue Wait Cycles per wave,29.02,16.68,17.28
Grid Size,256.0,256.0,256.0
#Threads,256.0,256.0,256.0
Shared Memory Allocated,512.0,0.0,0.0
Shared Memory Instructions per wave,4.75,0.0,0.0
Shared Memory Bank Conflicts (%),0.0,0.0,0.0
Register Spill Instructions per wave,0.0,0.0,0.0
Global Memory Instructions per wave,3.0,3.0,3.0
Global Memory Read Instructions per wave,2.0,2.0,2.0
Global Memory Write Instructions per wave,1.0,1.0,1.0
Coalesced Instructions (% of peak),100.0,100.0,100.0
Global Atomic Operations per wave,0.0,0.0,0.0
SALU Instructions,216.0,56.0,64.0
VALU Instructions,0.0,0.0,0.0
L1 Requests,192.0,192.0,192.0
L2 Requests,65.0,60.56,62.52
Dependency Wait Cycles,39103.68,24100.24,23496.08
Issue Wait Cycles,116.08,66.72,69.12
Shared Memory Instructions,19.0,0.0,0.0
Register Spill Instructions,0.0,0.0,0.0
Global Memory Instructions,12.0,12.0,12.0
Global Memory Read Instructions,8.0,8.0,8.0
Global Memory Write Instructions,4.0,4.0,4.0
Global Atomic Operations,0.0,0.0,0.0
