,omp 100 omp offloading kernel,sycl 100 sycl kernel,hip 100 hip_kernel
Runtime,553697876.0,426961083.0,443585573.0
SALU Instructions per wave,163552.24,154344.95,153749.24
VALU Instructions per wave,0.0,0.0,0.0
IPC,0.47,0.62,0.64
L1 Requests per wave,622814.91,116.04,117.0
L1 Hit Rate,99.09,-15.42,0.0
L2 Requests per wave,1337.33,784.2,790.7
L2 Hit Rate,85.02,74.49,74.53
Wavefront Occupancy (% of peak),13.92,12.92,40.37
Dependency Wait Cycles per wave,4026602.23,1967671.93,2090958.27
Issue Wait Cycles per wave,122101.78,3057.31,3416.65
Grid Size,1024.0,1024.0,1024.0
#Threads,128.0,256.0,256.0
Shared Memory Allocated,512.0,0.0,0.0
Shared Memory Instructions per wave,38928.16,7.38,41.05
Shared Memory Bank Conflicts (%),0.0,-3.12,0.0
Register Spill Instructions per wave,0.0,0.0,0.0
Global Memory Instructions per wave,38925.93,7.25,7.31
Global Memory Read Instructions per wave,38923.51,4.84,4.88
Global Memory Write Instructions per wave,2.42,2.42,2.44
Coalesced Instructions (% of peak),100.0,100.0,100.0
Global Atomic Operations per wave,0.0,0.0,0.0
Global Read Bytes per wave ,12810.79,13090.87,12885.56
Global Write/Atomic Bytes per wave,583.39,1.06,5.88
SALU Instructions,2616835.84,2469519.2,2459987.84
VALU Instructions,0.0,0.0,0.0
L1 Requests,9965038.56,1856.64,1872.0
L2 Requests,21397.28,12547.2,12651.2
Dependency Wait Cycles,64425635.68,31482750.88,33455332.32
Issue Wait Cycles,1953628.48,48916.96,54666.4
Shared Memory Instructions,622850.56,118.08,656.8
Register Spill Instructions,0.0,0.0,0.0
Global Memory Instructions,622814.88,116.0,116.96
Global Memory Read Instructions,622776.16,77.44,78.08
Global Memory Write Instructions,38.72,38.72,39.04
Global Atomic Operations,0.0,0.0,0.0
Global Read Bytes ,204972.64,209453.92,206168.96
Global Write/Atomic Bytes,9334.24,16.96,94.08
