,omp 128 128 128 100 1,sycl 128 128 128 100 1,hip 128 128 128 100 1
Runtime,5723307.0,16625297.0,17061945.0
SALU Instructions per wave,992.07,2267.25,3165.75
VALU Instructions per wave,0.0,0.0,0.0
IPC,0.79,0.15,0.17
L1 Requests per wave,2133.73,5876.0,5876.0
L1 Hit Rate,44.11,0.0,0.0
L2 Requests per wave,335.1,1620.18,1619.71
L2 Hit Rate,58.92,36.59,36.64
Wavefront Occupancy (% of peak),1361.0,235.56,242.45
Dependency Wait Cycles per wave,33847.92,212850.47,212716.29
Issue Wait Cycles per wave,12783.41,5818.51,5590.49
Grid Size,122880.0,16384.0,16384.0
#Threads,256.0,256.0,256.0
Shared Memory Allocated,0.0,4096.0,4096.0
Shared Memory Instructions per wave,133.36,1530.97,1530.97
Shared Memory Bank Conflicts (%),0.0,0.0,0.0
Register Spill Instructions per wave,0.0,0.0,0.0
Global Memory Instructions per wave,133.36,320.0,320.0
Global Memory Read Instructions per wave,116.29,192.0,192.0
Global Memory Write Instructions per wave,17.07,128.0,128.0
Coalesced Instructions (% of peak),100.0,87.13,87.13
Global Atomic Operations per wave,0.0,0.0,0.0
SALU Instructions,1904774.4000000001,580416.0,810432.0
VALU Instructions,0.0,0.0,0.0
L1 Requests,4096761.6,1504256.0,1504256.0
L2 Requests,643392.0,414766.08,414645.76
Dependency Wait Cycles,64988006.4,54489720.32,54455370.24
Issue Wait Cycles,24544147.2,1489538.56,1431165.44
Shared Memory Instructions,256051.2,391928.32,391928.32
Register Spill Instructions,0.0,0.0,0.0
Global Memory Instructions,256051.2,81920.0,81920.0
Global Memory Read Instructions,223276.80000000002,49152.0,49152.0
Global Memory Write Instructions,32774.4,32768.0,32768.0
Global Atomic Operations,0.0,0.0,0.0
