,omp 512 512 512 100 0 omp offloading kernel,sycl 512 512 512 100 0 sycl kernel,hip 512 512 512 100 0 hip_kernel
Runtime,314598393.0,157652891.0,157311743.0
SALU Instructions per wave,60104.08,8987.25,12573.75
VALU Instructions per wave,0.0,0.0,0.0
IPC,0.83,0.55,0.63
L1 Requests per wave,125987.53,23549.0,23561.04
L1 Hit Rate,32.57,0.0,0.0
L2 Requests per wave,26354.13,6999.55,7003.52
L2 Hit Rate,41.06,39.74,39.84
Wavefront Occupancy (% of peak),1635.47,3643.47,3664.26
Dependency Wait Cycles per wave,2159413.69,1963177.7,1970754.76
Issue Wait Cycles per wave,672644.28,91933.28,95421.86
Grid Size,122880.0,262144.0,262144.0
#Threads,256.0,256.0,256.0
Shared Memory Allocated,0.0,4096.0,4096.0
Shared Memory Instructions per wave,7874.22,5949.24,5949.24
Shared Memory Bank Conflicts (%),0.0,0.0,0.0
Register Spill Instructions per wave,0.0,0.0,0.0
Global Memory Instructions per wave,7874.22,1280.0,1280.0
Global Memory Read Instructions per wave,6781.95,768.0,768.0
Global Memory Write Instructions per wave,1092.27,512.0,512.0
Coalesced Instructions (% of peak),100.0,86.97,86.93
Global Atomic Operations per wave,0.0,0.0,0.0
Global Read Bytes per wave ,712892.81,138854.69,138244.47
Global Write/Atomic Bytes per wave,279620.27,130525.76,131061.97
SALU Instructions,115399833.60000001,36811776.0,51502080.0
VALU Instructions,0.0,0.0,0.0
L1 Requests,241896057.6,96456704.0,96506019.84
L2 Requests,50599929.6,28670156.8,28686417.92
Dependency Wait Cycles,4146074284.7999997,8041175859.2,8072211496.96
Issue Wait Cycles,1291477017.6000001,376558714.88,390847938.56
Shared Memory Instructions,15118502.4,24368087.04,24368087.04
Register Spill Instructions,0.0,0.0,0.0
Global Memory Instructions,15118502.4,5242880.0,5242880.0
Global Memory Read Instructions,13021344.0,3145728.0,3145728.0
Global Memory Write Instructions,2097158.4,2097152.0,2097152.0
Global Atomic Operations,0.0,0.0,0.0
Global Read Bytes ,1368754195.2,568748810.24,566249349.12
Global Write/Atomic Bytes,536870918.4000001,534633512.96,536829829.12
