,omp 1000000 2,sycl 1000000 2,hip 1000000 2
Runtime,348671549.0,104875111.0,120629808.0
SALU Instructions per wave,3089.5,343.57,338.49
VALU Instructions per wave,0.0,0.0,0.0
IPC,0.24,0.31,0.33
L1 Requests per wave,121470.27,9344.72,9343.08
L1 Hit Rate,75.33,61.16,61.34
L2 Requests per wave,6935.9,870.28,868.52
L2 Hit Rate,81.68,80.0,79.61
Wavefront Occupancy (% of peak),627.39,2769.03,2518.67
Dependency Wait Cycles per wave,530344.02,82238.16,78979.03
Issue Wait Cycles per wave,268985.29,61636.95,57154.47
Grid Size,122880.0,1000192.0,1000192.0
#Threads,256.0,256.0,256.0
Shared Memory Allocated,512.0,0.0,0.0
Shared Memory Instructions per wave,2025.82,0.0,0.0
Shared Memory Bank Conflicts (%),0.0,0.0,0.0
Register Spill Instructions per wave,0.5,0.0,0.0
Global Memory Instructions per wave,1898.16,146.01,145.99
Global Memory Read Instructions per wave,1486.69,95.49,95.48
Global Memory Write Instructions per wave,411.22,50.49,50.49
Coalesced Instructions (% of peak),25.03,25.0,25.0
Global Atomic Operations per wave,0.25,0.03,0.01
SALU Instructions,5931840.0,5369311.96,5289921.72
VALU Instructions,0.0,0.0,0.0
L1 Requests,233222918.4,146039284.16,146013654.24
L2 Requests,13316928.0,13600735.84,13573230.56
Dependency Wait Cycles,1018260518.4000001,1285217964.48,1234284280.84
Issue Wait Cycles,516451756.79999995,963262254.5999999,893210057.16
Shared Memory Instructions,3889574.4,0.0,0.0
Register Spill Instructions,960.0,0.0,0.0
Global Memory Instructions,3644467.2,2281844.28,2281531.72
Global Memory Read Instructions,2854444.8000000003,1492317.72,1492161.4400000002
Global Memory Write Instructions,789542.4,789057.7200000001,789057.7200000001
Global Atomic Operations,480.0,468.84,156.28
