,omp 30 10000 omp offloading kernel,sycl 30 10000 sycl kernel,hip 30 10000 hip_kernel
Runtime,1101019910.0,987570632.0,770991507.0
SALU Instructions per wave,130.45,86.15,70.9
VALU Instructions per wave,0.0,0.0,0.0
IPC,0.09,0.3,0.31
L1 Requests per wave,553.55,534.01,545.73
L1 Hit Rate,53.0,51.62,50.57
L2 Requests per wave,58.39,48.37,52.13
L2 Hit Rate,28.95,30.93,33.33
Wavefront Occupancy (% of peak),7.07,4.07,3.04
Dependency Wait Cycles per wave,74576.54,10900.46,8938.7
Issue Wait Cycles per wave,89.36,144.46,141.52
Grid Size,640.0,640.0,640.0
#Threads,256.0,256.0,256.0
Shared Memory Allocated,0.0,0.0,0.0
Shared Memory Instructions per wave,5.41,0.0,0.0
Shared Memory Bank Conflicts (%),0.0,0.0,0.0
Register Spill Instructions per wave,22.46,22.04,22.46
Global Memory Instructions per wave,5.41,4.86,4.92
Global Memory Read Instructions per wave,4.36,3.9,3.88
Global Memory Write Instructions per wave,0.94,0.94,0.94
Coalesced Instructions (% of peak),85.21,84.38,84.49
Global Atomic Operations per wave,0.1,0.02,0.1
Global Read Bytes per wave ,1608.3,1587.47,1573.17
Global Write/Atomic Bytes per wave,1186.55,121.32,7.26
SALU Instructions,1304.5,861.5,709.0
VALU Instructions,0.0,0.0,0.0
L1 Requests,5535.5,5340.1,5457.3
L2 Requests,583.9,483.7,521.3000000000001
Dependency Wait Cycles,745765.3999999999,109004.59999999999,89387.0
Issue Wait Cycles,893.6,1444.6000000000001,1415.2
Shared Memory Instructions,54.1,0.0,0.0
Register Spill Instructions,224.60000000000002,220.39999999999998,224.60000000000002
Global Memory Instructions,54.1,48.6,49.2
Global Memory Read Instructions,43.6,39.0,38.8
Global Memory Write Instructions,9.399999999999999,9.399999999999999,9.399999999999999
Global Atomic Operations,1.0,0.2,1.0
Global Read Bytes ,16083.0,15874.7,15731.7
Global Write/Atomic Bytes,11865.5,1213.1999999999998,72.6
